MOFFATT - Evan Water School,,,,,,,,,,
Grid ref,NT048068,Long,-3.5027412,Lat,55.345975,Elevation,549,ft,,
Station no,RR7326,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,6.35,0.45,,,,
February,,,,,3,0.95,,,,
March,,,,,3.7,3.17,,,,
April,,,,,1,0.8,,,,
May,,,,,4.4,1.4,,,,
June,,,,,5.1,3.3,,,,
July,,,,,4.1,5.15,,,,
August,,,,,3.95,7.6,,,,
September,,,,,2.3,0.6,,,,
October,,,,,5.95,7.8,,,,
November,,,,,3.5,3,,,,
December,,,,,7.2,3.25,,,,
Total,,,,,50.55,37.47,,,,
