UTTOXETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK089340,Long,-1.8691268,Lat,52.903365,Elevation,295,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2364/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.94,2.89,3.2,4.52,3.21,2.13,3.5,1.86,6.17,1.41,1.22,2.3,2.69,0.87,1.31,2.42,4.24,2.01,2.74,3.01,5.39
February,,,,,,,,,1.4,2.53,2.53,1.27,1.13,1.69,2.96,5.76,1.41,1.58,0.82,4.95,2.79,0.7,1.88,2.34,2.03,0.85,2.42,4.4,0.46,2.27
March,,,,,,,,,1.9,2.99,3.15,,0.88,0.36,1.34,0.88,4.85,1.02,1.82,0.9,4.29,2.01,1.48,1.93,2.64,1.55,2.53,1.76,1.55,2.06
April,,,,,,,,,2.18,2.74,1.78,1.06,1.57,2.68,2.37,1.08,1.91,1.63,2.89,3.07,2.33,2.59,2.85,0.44,1.69,1.31,0.3,0.77,2.68,1.43
May,,,,,,,,,1.97,1.9,2.71,3.38,2.39,1.03,3.57,1.42,2.39,1.77,1.44,0.97,2.78,1.46,2.67,2.28,3.07,0.76,1.34,3.02,0.77,1.91
June,,,,,,,,,1.75,1.97,0.84,0.05,3.09,2.39,3.17,2.4,1.39,3.53,1.02,1.71,2.05,2.37,3.17,3.8,3.92,2.5,1.84,4.94,1.1,2.81
July,,,,,,,,,5.4,2.89,5.04,2.87,1.39,3.18,1.25,2.02,4.21,1.92,2.8,2.61,0.96,2.27,3.01,2.68,1.03,4.19,3.75,4.23,1.97,3.46
August,,,,,,,,,2.27,0.47,4.7,3.06,2.2,2.03,2.99,4.82,0.98,4.82,2.09,3,7.33,1.82,2.32,4,1.17,5.85,7.15,1.9,0.65,4.48
September,,,,,,,,,1.18,1.19,0.34,1.45,2.65,3.49,1.8,5.78,1.86,2.26,1.3,4.56,2.63,1.31,1.9,3.69,2.11,2.67,6.05,3.18,0.12,4.55
October,,,,,,,,,3.04,4.77,3.32,2.66,2.06,3.68,4.5,0.87,0.46,2.1,4.49,1.04,0.77,3.45,1.54,5.19,1.83,1.68,2.13,3.1,2.29,5.79
November,,,,,,,,,4.74,8.81,3.08,1.06,2.59,5.15,0.28,4.96,2.51,1.6,4.29,3.8,6.78,1.41,1.95,5.55,2.34,1.4,1.8,1.71,3.84,4.18
December,,,,,,,,,1.98,3.17,1.77,3.22,1.2,2.31,2.43,2.81,2.93,4.7,3.04,2.03,2.7,3.37,1.1,4.19,2.45,3.55,1.88,3.95,4.04,3.74
Total,,,,,,,,,,35.37,32.15,,25.67,31.2,28.79,36.3,26.76,33.1,27.41,29.86,37.71,25.45,24.74,37.4,26.7,30.55,33.2,35.7,22.48,42.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is close to the biscuit factory owned by the observers, C H Elkes and Co Ltd. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
