BRAENTRAIN,,,,,,,,,,,,
Grid ref,NN662344,Long,-4.174230,Lat,56.482638,,,,,,,
Station no,5556/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,5.07,3.66,3.49,10.55,5.34,3.43,,,
February,,,,4.33,2.58,3.27,6.48,2.82,2.29,,,
March,,,,4.84,0.92,3.26,5.57,1.16,4.58,,,
April,,,,1.58,2.45,2.03,1.65,1.94,4.33,,,
May,,,,5.05,3.26,3.32,2.37,3.48,1.52,,,
June,,,,2.54,1.79,4.05,1.84,3.02,2.94,,,
July,,,,2.03,1.07,5.71,3.71,3.40,4.67,,,
August,,,,3.71,1.12,5.21,4.74,7.29,2.53,,,
September,,,,6.28,3.74,6.87,2.89,5.00,1.19,,,
October,,,,9.71,4.33,3.74,4.56,4.63,6.03,,,
November,,,9.35,12.62,2.69,2.76,1.62,1.30,8.06,,,
December,,,7.47,10.00,10.39,10.92,7.72,8.78,11.61,,,
Total,,,,67.76,38.00,54.63,53.70,48.16,53.18,,,
Calc annual,0.00,0.00,16.82,67.76,38.00,54.63,53.70,48.16,53.18,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
