BRAENTRIAN,,,,,,,,,,
Grid ref,NN662343,Long,-4.174179,Lat,56.48174,Elevation,850,ft,,
Station no,55536/3/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.71,6.46
February,,,,,,,,,2.74,6.88
March,,,,,,,,,5.71,2.75
April,,,,,,,,,4.92,7.52
May,,,,,,,,,1.58,3.91
June,,,,,,,,,3.25,2.12
July,,,,,,,,,4.91,3.28
August,,,,,,,,,2.83,4.64
September,,,,,,,,,1.28,3.74
October,,,,,,,,,6.78,6.02
November,,,,,,,,1.42,9.18,9.58
December,,,,,,,,10.05,14.33,9.29
Total,,,,,,,,,61.22,66.19
,,,,,,,,,,
Station no,55536/3/9,,,,,,,,,
Midas,15109,,,,,,,,,
Hyd Stn,861535,,,,,,,,,
