BRAENTRAIN,,,,,,,,,,
Grid ref,NN662344,Long,-4.17423,Lat,56.482638,Elevation,850,ft,,
Station no,5556/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.07,3.66,3.49,10.55,,,
February,,,,4.33,2.58,3.27,6.48,,,
March,,,,4.84,0.92,3.26,5.57,,,
April,,,,1.58,2.45,2.03,1.65,,,
May,,,,5.05,3.26,3.32,2.37,,,
June,,,,2.54,1.79,4.05,1.84,,,
July,,,,2.03,1.07,5.71,3.71,,,
August,,,,3.71,1.12,5.21,4.74,,,
September,,,,6.28,3.74,6.87,2.89,,,
October,,,,9.71,4.33,3.74,4.56,,,
November,,,9.35,12.62,2.69,2.76,1.62,,,
December,,,7.47,10,10.39,10.92,7.72,,,
Total,,,,67.76,38,54.63,53.7,,,
,,,,,,,,,,
BR 1958 NP Low Deleted,,,,,,,,,,
BR 1959 NP Low Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5556/4,,,,,,,,,
Midas,15110,,,,,,,,,
Hyd Stn,861536,,,,,,,,,
