"PRESCOT (KNOWSLEY HALL)",,,,,,,,,,,,
Grid ref,SJ443944,Long,-2.840043,Lat,53.443411,,,,,,,
Station no,2805/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,2.26,1.96,3.97,2.18,4.28,1.41,,1.73,,,
February,1.77,1.01,1.18,3.94,2.62,0.39,1.73,,2.08,,,
March,4.45,2.59,1.03,2.38,1.85,1.00,2.43,,1.01,,,
April,1.89,2.57,2.98,0.83,1.84,3.09,0.14,,2.64,,,
May,3.13,2.14,2.20,2.67,3.21,1.11,1.12,,1.72,,,
June,1.23,2.25,1.80,3.41,3.89,2.36,1.63,,2.59,,,
July,1.79,1.58,3.51,4.25,0.07,4.04,5.36,,2.59,,,
August,5.28,1.31,2.73,3.27,1.39,8.53,4.58,,0.72,,,
September,0.98,3.45,4.50,3.72,2.93,2.97,5.70,,0.25,,,
October,1.07,4.50,1.57,5.28,2.25,1.99,3.47,,2.72,,,
November,9.10,1.91,3.34,6.24,2.16,1.62,2.10,,4.77,,,
December,4.70,1.74,1.02,4.54,4.25,2.24,1.71,,6.10,,,
Total,37.78,27.31,27.82,44.50,28.64,33.62,31.38,,28.92,,,
Calc annual,37.78,27.31,27.82,44.50,28.64,33.62,31.38,0.00,28.92,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,NaN,,
