PRESCOT (KNOWSLEY HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ443944,Long,-2.840043,Lat,53.443411,Elevation,178,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2805/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.33,2.73,2.4,,2.46,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.59,2.41,2.52,2.44,2.79,1.53,4.85,1.26,1.91,1.38,3.45,0.95,3.66,2.67,1.31,4.22,1.87,1.92,2.11,3.51,3.63,3.39,3.34,1.07,3.11,1.38,3.04,2.83,5.6,2.33,5.68,3.65,3.38,1.92,2.05,2.17,5.76,2.38,3.34,6.71,6.87,5.17,9.35,5.41,6.63,2.29,5.19,2.77,8.7,3.5,1.27,2.39,2.26,1.96,,2.18,4.28,1.41,,1.73,
February,,,,,,,3.16,2.09,1.67,,0.7,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,3.97,1.45,1.5,1.39,4.03,1.46,2.59,1.7,2.72,1.09,2.55,2.28,0.99,0.84,1.77,2.2,3.1,1.31,2.06,1.29,2.63,0.87,2.09,3.69,0.06,4.87,3,1.41,3.35,0.09,0.52,3.12,0.12,4.01,0.21,2.83,2.47,5.4,1.2,1.68,2.95,4.49,3.1,3.04,1.77,3.62,8.24,1.03,2.08,1.47,4.62,1.77,1.01,,,2.62,0.39,1.73,,2.08,
March,,,,,,,1.84,1.35,2.74,,2,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.68,2.28,2.59,3.56,1.57,3.5,2.65,2.28,2.92,2.67,0.85,1.07,4.81,2.64,3.03,1.34,1.89,2.12,1.25,5.59,3.49,2.03,1.56,1.37,1.05,0.74,0.74,2.23,2.15,0.91,3.45,0.83,2.84,2.15,2.01,0.93,2.61,1.64,1.64,2.58,3.82,3.4,4.84,0.71,1.82,1.46,1.56,5.05,1.16,3.02,1.38,4.45,2.59,1.03,2.38,1.85,1,2.43,,1.01,
April,,,,,,,1.07,3.74,1.72,,1.6,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,1.71,2.17,1.46,2.26,1.47,2.94,1.23,1.21,2.4,3.13,2.67,2.5,0.28,3.61,0.89,1.51,2.02,2.08,1.04,1.37,4.22,0.89,2.57,2.75,1.95,1.74,1.38,2.81,1.09,0.96,2.23,3.12,3.95,1.02,2.48,2.49,1.61,3.68,0.32,2.09,2.35,2.11,2.39,2.86,2.36,2.65,1.37,2.9,1.58,2.41,3.35,1.89,2.57,,0.83,1.84,3.09,0.14,,2.64,
May,,,,,,,1.56,1.54,1.65,,1.16,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,2.11,0.92,4.45,4.38,1.57,0.66,3.12,3.3,3.27,1.94,2.49,0.68,2.37,1.88,2.02,1.52,2.78,2.92,3.22,1.26,4.59,2.44,1.35,4.14,3.87,3.65,3.6,1.32,1.34,2.28,1.14,2.86,7.99,2.17,2.52,1.65,1.19,2.26,3.5,1.95,2.74,2.33,5.06,3.23,3.14,4.88,2.12,3.58,1.82,3.42,0.89,3.13,2.14,2.2,2.67,3.21,1.11,1.12,,1.72,
June,,,,,,,4.22,0.94,0.35,,1.8,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,2.58,1.65,1.4,1.33,2.29,2.03,1.43,6.51,1.8,2.37,3.12,3.42,3.67,2.78,2,1.37,2.81,1.9,1.54,1.41,3.65,0.38,2.19,0.85,6.34,0,1.94,4.54,5.43,1.26,1.53,5.71,0.56,2.08,1.57,3.14,3.75,1.24,3.11,4.54,1.29,0.9,1.01,4.19,3.72,5.99,4.65,2.49,3.36,0.96,1.95,1.23,2.25,1.8,3.41,3.89,2.36,1.63,,2.59,
July,,,,,,2.81,3.77,4.14,0.43,,0.8,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1.21,2.04,2.59,3.16,1.92,2.28,0.84,3.6,3.7,4.32,5.31,0.83,2.83,1.78,4.7,3.66,1.61,1.86,4.09,1.09,6.32,1.32,4.33,2.96,4.14,3.29,4.02,3.88,2.27,3.55,6.32,3.33,3.65,2.34,1.59,2.88,4.01,2.34,3.25,8.06,3.3,2.52,3.33,4,3.25,4.26,4.19,2.96,3.39,3.03,2.77,1.79,1.58,3.51,4.25,0.07,4.04,5.36,,2.59,
August,,,,,,4.76,4.62,1.95,3.2,,2.04,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,6.96,3.41,2.47,4.76,4.69,3.75,2.96,3.81,2.51,3.05,4.12,2.95,6.46,2.01,2.77,4.61,3.15,7.25,2.28,3.92,1.79,4.42,2.88,2.89,6.41,3.55,4.21,5.71,5.26,4.98,5.16,9.38,2.13,1.81,5.04,3.15,2.32,2.18,5.87,2.16,1.47,6.32,7.15,5.01,5.5,3.66,6.49,0.45,3.92,4.24,8.73,5.28,1.31,2.73,3.27,1.39,8.53,4.58,,0.72,
September,,,,,,3.53,5.98,1.55,2.15,,2.7,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,0.97,1,1.48,5.14,1.84,1.82,2.54,0.83,3.89,3.28,0.63,4.43,1.65,1.59,3.39,1.64,2.9,1.99,7.85,2.23,2.78,1.61,3.53,2.12,4.96,5,2.99,5.06,2.28,1.64,4.23,3.63,3.04,1.13,2.08,6.22,4.15,1.61,1.13,1.15,3.87,1.24,3.48,4.8,7.03,3.37,4.6,3.04,2.24,2.67,4.71,0.98,3.45,4.5,3.72,2.93,2.97,5.7,,0.25,
October,,,,,,3,2.23,4.44,3.32,,7.18,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,4.05,3.8,2.8,7.43,2.42,3.26,6.03,3.5,2.43,5.42,2.61,2.98,3.32,2.58,2.04,1.86,4.84,6.33,2.58,2.07,1.08,2.99,0.52,4.73,3.86,4.96,3.16,3.23,3.65,6.54,3.12,2.62,8.02,4.36,6.71,6.09,2.99,2.89,7.5,2.45,3.91,4.38,6.17,5.67,5.86,7.14,0.98,1.01,2.75,3.54,2.24,1.07,4.5,1.57,5.28,2.25,1.99,3.47,,2.72,
