"HAYFIELD, OAKEN CLOUGH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2643/6/7,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.80,4.23,4.00,4.81,2.73,3.71,4.07,3.25,8.38,2.26,5.00,
February,3.71,0.53,5.37,4.52,1.09,5.92,3.47,2.35,4.53,1.07,0.70,
March,1.83,2.05,1.90,2.11,1.01,2.37,1.70,5.04,2.27,0.94,2.73,
April,5.21,1.58,2.83,3.11,2.12,2.08,2.13,3.81,1.40,1.46,3.20,
May,5.35,1.83,0.93,3.77,5.64,3.75,3.53,1.42,1.27,2.76,2.50,
June,3.60,0.31,2.43,1.62,2.64,0.25,2.75,5.65,5.41,1.65,3.05,
July,5.42,1.19,4.97,4.75,4.27,2.51,2.80,2.79,1.50,3.77,7.75,
August,2.28,4.34,5.71,4.43,7.41,3.41,4.25,5.61,5.81,4.35,6.68,
September,2.44,1.14,4.08,5.24,5.25,4.59,3.21,7.51,0.58,2.27,4.52,
October,2.31,2.10,1.51,4.28,4.61,5.73,3.88,3.48,5.54,5.10,7.04,
November,1.00,2.31,2.74,4.90,2.60,4.81,4.91,4.85,6.57,7.55,4.83,
December,3.54,5.25,3.92,4.51,3.59,2.29,2.34,1.32,2.50,6.68,3.38,
Total,40.49,26.86,40.39,48.05,42.96,41.42,39.04,47.08,45.76,39.86,51.38,
Calc annual,40.49,26.86,40.39,48.05,42.96,41.42,39.04,47.08,45.76,39.86,51.38,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
