"UPPER DERWENT (QUICKLEUGH)",,,,,,,,,,,,
Grid ref,NY889479,Long,-2.174295,Lat,54.825814,,,,,,,
Station no,RR4090,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,1.90,4.85,5.50,4.00,4.60,4.30,3.50,8.30,,
February,,,2.60,4.00,4.00,5.30,3.50,5.70,0.60,5.00,,
March,,,0.95,3.30,2.20,1.70,2.70,3.30,1.50,2.70,,
April,,,3.50,0.80,0.60,1.30,0.40,2.40,3.90,2.60,,
May,,-999.00,2.60,6.50,3.10,1.20,1.50,4.40,0.80,2.00,,
June,,-999.00,3.50,2.80,2.85,3.30,1.00,4.60,2.75,0.45,,
July,,2.80,2.68,1.30,1.20,4.50,6.00,4.70,2.15,5.85,,
August,,3.90,4.40,9.40,1.65,8.80,6.70,2.40,0.60,5.50,,
September,,-999.00,4.75,4.95,1.50,3.70,4.00,3.10,1.40,3.40,,
October,,-999.00,2.50,7.18,3.00,2.70,4.00,3.60,3.60,10.50,,
November,,4.00,4.10,6.97,2.00,1.75,3.20,0.70,7.00,5.50,,
December,,3.75,2.30,6.25,6.35,6.00,4.20,5.80,7.50,4.70,,
Total,,-999.00,35.78,58.30,33.95,44.25,41.80,45.00,35.30,56.50,,
Calc annual,0.00,14.45,35.78,58.30,33.95,44.25,41.80,45.00,35.30,56.50,,
Difference,NaN,-1013.45,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
