UPPER DERWENT (QUICKLEUGH),,,,,,,,,,
Grid ref,NY889479,Long,-2.174295,Lat,54.825814,Elevation,1380,ft,,
Station no,3560/1/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.9,4.85,5.5,4,4.6,4.3,3.5,8.3
February,,,2.6,4,4,5.3,3.5,5.7,0.6,5
March,,,0.95,3.3,2.2,1.7,2.7,3.3,1.5,2.7
April,,,3.5,0.8,0.6,1.3,0.4,2.4,3.9,2.6
May,,,2.6,6.5,3.1,1.2,1.5,4.4,0.8,2
June,,,3.5,2.8,2.85,3.3,1,4.6,2.75,0.45
July,,2.8,2.68,1.3,1.2,4.5,6,4.7,2.15,5.85
August,,3.9,4.4,9.4,1.65,8.8,6.7,2.4,0.6,5.5
September,,,4.75,4.95,1.5,3.7,4,3.1,1.4,3.4
October,,,2.5,7.18,3,2.7,4,3.6,3.6,10.5
November,,4,4.1,6.97,2,1.75,3.2,0.7,7,5.5
December,,3.75,2.3,6.25,6.35,6,4.2,5.8,7.5,4.7
Total,,,35.78,58.3,33.95,44.25,41.8,45,35.3,56.5
,,,,,,,,,,
1952 100s transcribed therefore removed,,,,,,,,,,
1822,QUICKCLEUGH ,1952-2014,,,,,,,,
,,,,,,,,,,
Station number also RR4090,,,,,,,,,,
