STRADISHALL-AIRFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TL723517,Long,0.516199,Lat,52.13673,Elevation,386,ft,,,,,,,,,,,,
Station no,1339/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.45,,,,,,,,,,,,,,,,2.59,2.59
February,,,0.89,,,,,,,,,,,,,,,,0.17,1.31
March,,,0.75,,,,,,,,,,,,,,,,2.05,1.72
April,,,1.11,,,,,,,,,,,,,,,,2.23,0.48
May,,,1.39,,,,,,,,,,,,,,,,0.3,0.86
June,,,2.08,,,,,,,,,,,,,,,,1.15,2.2
July,,,0.78,,,,,,,,,,,,,,,,2.23,3.42
August,,,1.11,,,,,,,,,,,,,,,,0.76,3.18
September,,,1.56,,,,,,,,,,,,,,,,0.07,3.66
October,,,1.46,,,,,,,,,,,,,,,,2.21,5.72
November,,,1.89,,,,,,,,,,,,,,,,1.64,3.01
December,,,,,,,,,,,,,,,,,,,4.49,3.17
Total,,,,,,,,,,,,,,,,,,,19.89,31.32
