BALA-HENBLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH927360,Long,-3.5970222,Lat,52.910678,Elevation,544,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,10.03,7.43,7.78,7.94,4.94,3.92,8.81,8.87,5.11,7.36,2.19,7.51,6.42,1.45,1.15,0.92,6.16,8.82,8.61,4.2,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,6.37,,,,
February,,,,,,,7.38,5.26,4.33,9.16,4.23,5.42,6.06,1.38,3.36,1.93,7.92,6.39,2.64,3.73,5.95,8.2,4.19,4.5,5.42,6.86,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,7.58,,,,
March,,,,,,,3.77,3.95,7.42,2.75,2.81,3.6,4.67,3.58,5.3,1.81,6.04,3.12,3.46,2.63,4.23,4.48,4.26,2.89,2.98,1.95,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,1.2,,,,
April,,,,,,,1.75,6.73,2.29,4.15,1.97,2.96,3.32,1.32,2.63,1.97,3.59,2.34,1.26,1.61,2.81,1.31,4.07,0.83,1.22,2.28,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,,1.9,,,,
May,,,,,,3.31,2.65,2.16,1.72,3.41,2.22,1.38,2.92,2.36,2.02,2.75,0.68,3.43,6.03,1.64,2.75,4.96,2.76,2.72,3,1.84,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.26,,,,
June,,,,,,2.14,6.47,0.88,0.69,,1.37,2.29,4.7,1.54,1.04,4.01,2.44,2.81,3.38,4.73,2.81,3.69,5.09,3.76,1.92,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,1.3,,,,
July,,,,,,2.41,1.77,4.39,0.45,1.42,2.13,6.73,5.02,4.61,3.28,4.19,2.86,3.68,1.5,6.92,8.43,1.81,6.88,3.27,3.93,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,4.75,,,,
August,,,,,,7.24,5.96,2.32,2.91,1.36,2.39,3.47,3.43,4.35,5.93,2.82,4.92,6.19,4.9,6.68,2.3,5.22,4.84,3.45,1.22,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,4.12,,,,
September,,,,,,1.15,10.24,3.38,3.16,10.9,3.93,3.97,8.29,3.51,5.33,4.61,4.57,3.73,3.55,4.75,3.83,1.52,2.45,6.43,3.09,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,1.93,,,,
October,,,,,,6.69,1.88,6.57,5.15,4.27,12.92,7.04,8.88,6.11,8.23,5.25,5.92,7.27,7.46,1.96,4.84,4.9,4.88,5.95,3.61,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,,2.28,,,,
November,,,,,,6.67,6.66,1.52,4.36,6.17,6.34,1.49,11.65,3.16,5.04,5.5,3.82,9.2,5.66,0.91,8.68,9,9.17,5.15,4.11,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,3.14,,,,
December,,,,,,3.3,6.67,4.9,12.13,8.17,3.88,3.69,7.43,1.98,6.21,3.82,7.74,5.28,4.47,6.08,7.21,5.32,7.18,4.28,8,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,10.91,,,,
Total,,,,,,,65.23,49.49,52.39,,49.13,45.96,75.18,42.77,53.48,46.02,52.69,60.95,50.73,43.09,54.99,51.33,61.93,52.05,47.11,46.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06,,47.74,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church and matches altitude and there is a garage of the same name on Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
