"UPPERLANDS (ARDTARA)",,,,,,,,,,,,
Grid ref,IC874047,Long,-6.638812,Lat,54.882539,,,,,,,
Station no,6238/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.77,5.07,1.39,3.40,4.74,4.04,5.81,4.81,2.58,3.90,,
February,2.92,2.54,1.53,5.05,3.22,1.60,3.27,5.34,0.78,4.75,,
March,2.97,2.27,0.77,3.64,1.20,1.52,3.24,1.84,2.94,2.00,,
April,2.45,1.18,1.81,1.01,2.38,1.48,1.47,2.12,3.55,2.85,,
May,1.60,1.85,2.51,5.35,2.75,1.33,1.87,1.99,1.46,2.90,,
June,3.06,2.20,2.36,3.12,4.16,3.66,2.59,5.13,2.10,2.94,,
July,3.08,1.49,3.94,3.53,1.13,5.27,5.72,5.66,3.30,4.81,,
August,4.69,5.15,3.72,2.44,2.14,6.28,3.67,3.77,1.12,4.35,,
September,3.27,3.53,3.87,5.03,4.55,4.15,5.09,5.37,1.44,2.37,,
October,1.56,5.32,1.82,6.08,3.93,3.37,3.63,2.70,4.60,4.87,,
November,7.18,3.96,3.25,5.10,2.79,2.57,1.32,2.62,4.62,3.72,,
December,6.21,5.53,3.81,6.57,5.44,4.30,6.15,4.53,5.82,3.67,,
Total,43.76,40.09,30.78,50.32,38.43,39.57,43.83,45.88,34.31,43.13,,
Calc annual,43.76,40.09,30.78,50.32,38.43,39.57,43.83,45.88,34.31,43.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
