UPPERLANDS (ARDTARA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC874047,Long,-6.638812,Lat,54.882539,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6238/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.06,2.07,5.09,5.99,4.58,4.36,3.28,1.21,6.98,5.43,4,3.4,5.14,4.26,5.64,3.25,2.98,4.77,5.07,1.39,3.4,4.74,4.04,5.81,4.81,2.58,3.9
February,,,,1.05,3.85,2.11,6.3,3.08,3.67,2.35,3.42,2.15,3.86,1.37,4.58,3.68,1.38,2.73,3.02,2.94,2.92,2.54,1.53,5.05,3.22,1.6,3.27,5.34,0.78,4.75
March,,,,1.9,1.05,2.78,2.32,2.78,4.46,4.45,3.42,3.8,1.32,1.67,1.39,1.76,5.25,2.88,2.53,1.88,2.97,2.27,0.77,3.64,1.2,1.52,3.24,1.84,2.94,2
April,,,,3.34,3.74,0.71,4.3,0.33,2.18,5.89,1.21,2.12,2.9,2.97,1.87,1.18,4.28,2.35,2.6,5.62,2.45,1.18,1.81,1.01,2.38,1.48,1.47,2.12,3.55,2.85
May,,,,3.15,1.6,1.24,2.65,2.85,1.09,1.01,2.25,4.42,3.71,2.02,5.02,1.41,4.61,1.76,2.82,1.29,1.6,1.85,2.51,5.35,2.75,1.33,1.87,1.99,1.46,2.9
June,,,,,4.27,1.64,1.96,3.36,3.43,1.2,0.34,0.71,3.36,3.54,4.33,4.02,4.18,4.43,1.29,2.31,3.06,2.2,2.36,3.12,4.16,3.66,2.59,5.13,2.1,2.94
July,,,,,1.26,6.91,5.89,5.49,3.96,4.8,3.27,5.07,2.31,4.65,6.17,4.85,3.99,2.87,2.98,7.05,3.08,1.49,3.94,3.53,1.13,5.27,5.72,5.66,3.3,4.81
August,,,,,2.45,3.31,4.35,2.3,1.62,1.07,4.49,5.1,6.2,2.48,2.05,5.07,0.58,4.16,3.19,5.76,4.69,5.15,3.72,2.44,2.14,6.28,3.67,3.77,1.12,4.35
September,,,,,4.34,5.48,2.29,2.74,2.7,3.72,0.99,5.48,2.88,6.5,2.95,6.09,2.76,4.45,3,8.92,3.27,3.53,3.87,5.03,4.55,4.15,5.09,5.37,1.44,2.37
October,,,,,4.3,3.78,3.59,7.27,3.7,5.39,5.65,3.37,3.24,5.52,4.64,1.67,2.03,4.08,6.03,4.5,1.56,5.32,1.82,6.08,3.93,3.37,3.63,2.7,4.6,4.87
November,,,,,7.2,4,1.84,6.35,5.41,5.74,5.73,1,4.63,5.32,1.02,4.14,6.02,2.85,4.16,2.96,7.18,3.96,3.25,5.1,2.79,2.57,1.32,2.62,4.62,3.72
December,,,,,4.88,4.61,3.4,3.73,4.64,6.26,2.32,5.13,2.64,5.87,4.89,4.78,2.69,5.95,5.68,5.22,6.21,5.53,3.81,6.57,5.44,4.3,6.15,4.53,5.82,3.67
Total,,,,,41.01,41.66,44.88,44.86,41.22,45.16,34.3,45.33,42.48,45.91,42.31,43.79,42.03,44.15,40.55,51.43,43.76,40.09,30.78,50.32,38.43,39.57,43.83,45.88,34.31,43.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 June onwards estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Feb mistranscribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
