"BANN RESERVOIR, BANBRIDGE, CO DOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ2824235232,Long,-6.1881512,Lat,54.335225,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,6,4.3,5.2,5,8.1,4.4,3.8,7.1,5.9,4.5,7.2,6.2,2.1,7.1,2.3,11.9,2.2,2.7,1.1,0.4,1.6,,,,,,,
February,,,2.6,1,1.2,3.7,3.6,2,1.7,2.6,8.4,6.5,9,0.8,4,1.2,3.7,1.7,4.2,3,4.4,4.6,5.9,,,,,,,
March,,,5.6,4.9,6.7,1.9,8.4,7.1,3.1,1.9,0.9,2.1,3,4.4,0.8,1.4,2.1,3.6,0.4,2.2,1.7,4.7,2.5,,,,,,,
April,,,3.3,1,2,0.5,3.9,5,1.3,1.2,0.8,5.3,3.6,0.3,3,0.3,2,5.6,1.8,3.5,5.8,0.7,6.1,,,,,,,
May,,0.56,3,2.4,1.7,4.6,1.3,8.2,2.4,2.1,3.4,0.5,1.5,1.2,0.3,2.2,0.2,3.8,6.9,1.6,0.1,0.8,2.4,,,,,,,
June,,3.66,5,3.4,2.7,0.8,4.7,0.5,0.2,0.1,0.5,1.8,3.3,1.9,0.7,3.8,2,3.3,2.9,6.1,3,4,2.7,,,,,,,
July,,6.3,4.4,0.8,1.6,2.9,1.3,6.5,0.4,1.2,0.9,3.3,3.1,4.2,2,3.2,0.8,2.7,0.4,5.9,6.2,0.8,4.7,,,,,,,
August,,,2,5.2,1.8,4.5,4.1,1.7,7,1.6,1.6,2.4,3.3,3.9,3.9,2.8,3.4,4.2,2.6,4.7,0.3,3.6,4.5,,,,,,,
September,,7.5,2,2,3.1,0.3,6.3,3,2.5,4.7,2.8,5.7,4,1.9,4.8,5.6,5.8,1.9,4.8,7.2,4.5,1.2,4.4,,,,,,,
October,,5.9,5.7,11.8,4.5,12,4.8,6.6,1.9,0.8,14.7,5,5.4,1.6,6.3,6.2,8.9,3.8,4.1,0.9,2.3,2.8,6.9,,,,,,,
November,,2.6,5,3.5,10.3,9.3,4.6,0.5,7.9,1.9,2.5,3.3,6.8,4,3.6,5.2,8.7,6,0.9,0.9,3.5,6,6.6,,,,,,,
December,,2,8.3,2.5,3.9,6.8,3.5,1.7,11.1,3.7,5.7,2.6,11,0.8,4,2.4,13,5.6,0.7,1.1,0.9,4.8,4.9,,,,,,,
Total,,,52.9,42.8,44.7,52.3,54.6,47.2,43.3,28.9,48.1,43,61.2,31.2,35.5,41.4,52.9,54.1,31.9,39.8,33.8,34.4,53.2,,,,,,,
