COLNE LANESHAW RESERVOIR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD944415,Long,-2.0866475,Lat,53.869678,Elevation,795,ft,,,,,,,,,,,,,
Station no,3073,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.8,7.03,3.46,3.24,2.71,3.4,4.18,3.01,9.33,1.76,6.48,3.39,4.66,2.48,3.47,1.43,3.68,4.58,5.28,,
February,3.19,0.31,3.96,5.88,0.73,6.16,3.38,1.71,5.26,0.7,0.82,4.19,0.24,4.33,0.27,6.26,2.36,5.25,1.91,,
March,3.05,3.36,2.31,2.04,1.24,1.09,1.66,3.51,2.83,1.02,2.42,0.45,2.46,2.03,2.63,1.51,2,2.09,1.27,,
April,4.72,1.1,3.02,3.65,1.68,2.45,1.36,2.65,1.04,0.98,3.52,3,3.32,1.31,2.48,2.62,1.49,3.37,0.75,,
May,4.89,1.67,1.46,3.14,4.79,3.69,3.7,1.33,1.32,2.58,1.67,2.24,3.89,2.12,3.04,0.92,1.22,2.55,4.01,,
June,2.25,0.08,2.26,1,2.84,0.01,2.88,3.65,5.45,1.43,1.6,5.96,0.92,2.07,2.77,3.62,3.54,2.34,4.42,,
July,5.84,1.84,4.43,3.75,3.9,1.42,2.5,4.94,1.8,2.59,7.27,4.53,4.87,2.62,2.66,1.47,3.63,1.83,5.28,,
August,2.09,6.2,5.79,5.17,4.51,4.57,3.64,6.32,4.94,4.16,6.15,4.85,1.8,0.84,3.12,1.32,2.94,2.2,6.67,,
September,1.95,1.72,3.91,4.66,4.39,2.52,3.28,5.32,0.9,1.49,3.61,3.8,5.13,1.57,3.09,6.62,4.11,1.75,1.59,,
October,2.23,2.72,0.93,5.2,4.07,4.66,4.18,4.03,5.59,4.82,4.88,2.71,5.9,3.64,4.23,8.85,3.82,2.07,9.44,,
November,2.4,2.45,1.68,5.34,3.1,2.26,6.48,4.55,5.9,6.55,5.43,6.1,3.02,2.42,1.76,6.33,4.39,1.74,5.13,,
December,3.05,5.62,3.29,3.16,4.15,4.11,1.34,1.82,2.38,9.18,3.62,1.98,1.48,0.45,5.53,2.56,3.9,1.98,5.52,,
Total,39.46,34.1,36.5,46.23,38.11,36.34,38.58,42.84,46.74,37.26,47.47,43.2,37.69,25.88,35.05,43.51,37.08,31.75,51.27,,
