COLNE (LANESHAW RES.) - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD944415,Long,-2.0866475,Lat,53.869678,Elevation,795,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3073/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.82,1.56,4.07,4.91,5.35,5.24,1.84,1.79,4.19,5.28,6.74,3.46,4.88,3.95,9.18,2.12,3.09,4.23,5.23,0.98,3.97,2.54,5.07,3.77,3.32,3.19,5.14
February,,,,0.28,6.8,2.43,5.62,1.97,4.23,1.72,5.15,1.1,3.29,2.43,5.24,6.27,1.29,3.76,3.79,6.27,4.01,1.59,1.7,2.88,2.3,1.45,3.15,5.74,0.39,2.92
March,,,,2.72,1.62,2.08,2.29,1.23,2.61,3.01,3.61,3.69,1.54,0.61,1.37,1.23,5.68,2.78,1.46,2.58,4.99,2.41,2.01,2.82,2.39,1.88,4.51,1.93,1.81,1.55
April,,,,2.59,2.76,1.53,3.59,0.76,1.96,3.02,2.85,1.5,2.51,3.28,2.83,1.77,4.46,2.44,4.39,3.29,2.57,3.41,3.51,0.75,1.63,3.12,0.63,1.28,3.26,2.73
May,,,,3.37,1.07,1.28,2.7,4.16,1.04,1.02,2.55,3.14,3.21,3.5,5.15,1.86,2.68,1.23,2.62,2.35,4.27,3.79,2.12,3.85,3.52,1.81,1.3,5.45,1.34,1.58
June,,,,2.98,3.71,3.73,2.46,4.58,3.1,0.87,0.59,1.36,4.25,3.17,3.73,2.69,3.34,5.19,0.67,3.37,1.89,3.23,2.48,2.6,2.84,3.02,2.3,5.19,2.96,1
July,,,,2.69,1.51,3.7,1.93,5.34,6.42,4.58,2.93,4.34,3.13,3.14,2.55,4.52,3.45,1.89,2.76,3.87,3.78,1.99,5.79,4.89,1.11,4.35,5.2,3.9,2.52,7.18
August,,,,3.41,1.34,3.06,2.24,6.73,2.76,2.24,5.75,4.55,6.48,2.98,3.79,8.19,0.35,5.55,3,6.82,4.12,5.99,5.51,8.64,1.1,8.86,5.97,3.96,0.98,4.76
September,,,,3.2,6.9,4.31,1.87,1.69,1.44,4.34,0.81,3.26,4.52,7.22,2.66,7.82,3.03,3.46,0.96,6.98,3.08,4.91,3.92,5.43,2.83,4.28,5.23,4.79,0.35,2.84
October,,,,4.67,9.54,4.08,2.26,9.62,2.89,4.09,6.13,7.1,3.11,4.85,5.86,1.05,1.38,2.83,4.9,3.73,1.78,4.14,2.21,7.92,3.5,2.28,5.46,4.37,5.41,4.52
November,,,,1.83,6.77,4.72,1.89,5.38,8.05,6.45,3.04,1.66,2.63,7.9,0.56,6.35,6.83,2.66,6.79,5.89,9.98,1.8,5.31,7.13,2.61,1.49,2.01,1.36,5.4,6.96
December,,,,5.9,2.76,4.01,2.09,5.78,2.84,3.97,2.08,3.8,2.5,4.95,2.79,4.21,4.48,4.25,7.6,2.65,8.55,3.46,2.24,6.21,6,4.34,5.26,4.62,8.68,4.66
Total,,,,37.46,46.34,39,33.85,52.59,42.58,37.15,37.28,39.69,42.45,50.77,39.99,50.84,40.92,45.22,41.06,50.89,53.25,41.95,37.78,57.09,32.37,41.95,44.79,45.91,36.29,45.84
