BODEWRYD,,,,,,,,,,,,,,,,,,,,
Grid ref,SH397908,Long,-4.4119564,Lat,53.389637,Elevation,170,ft,,,,,,,,,,,,
Station no,RR2685,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.71,4.89,4.61,2.25,7.88,2.75,,0.87,1.1,3.75,5.1,3.65,2.33,3.36,4.33,1.49,
February,,,,1.18,2.84,2.25,4.29,3.84,2.4,,2.55,2.74,2.55,3.06,5.55,5.74,2.33,1.16,0.61,
March,,,4.35,3.85,1.76,1.2,2.35,3.21,1.72,,2.49,2.9,3.28,1.73,3.44,3.35,4.05,2.46,3.39,
April,,,2.22,0.67,1.92,1.25,2.6,3.56,1.12,,1.88,1.18,3.4,0.94,1.68,1.79,2.46,1.01,2.18,
May,,,1.63,1.7,2.02,1.82,0.45,3.69,2.91,,1.66,4.33,1.77,2.59,2.08,1.65,4.62,1.75,1.4,
June,,,5.14,0.79,0.42,2.64,2.09,3.11,3.04,,3.46,3.85,3.59,2.71,0.87,1.67,1.39,0.94,2.46,
July,,,2.9,1.91,1.75,2.53,3.2,5.24,0.52,,4.36,2.36,4.99,1.73,4.43,2.26,5.39,2.26,4.19,
August,,,2.24,3.94,4.93,3.15,3.44,5.37,4.67,,2.74,4.42,2.64,3.46,1.77,2.39,2.5,1.39,2.92,
September,,,7.49,3.2,3.46,4.91,2.79,3.96,4.41,,2.4,1.9,3.08,3.6,2.71,5.55,6.28,2.36,1.26,
October,,,12.05,6.61,6.82,6.16,4.77,4.49,4.07,,8.69,2.59,4,3.56,2.23,4.95,5.49,3.31,,
November,,,5.61,1.43,3.96,4.98,4.71,9.3,,,7.03,5.17,4.5,5.44,2.87,3.98,5.59,3.79,,
December,,,6.31,2.08,4.61,2.96,7.06,5.07,,,5.4,5.24,4.12,2.63,3.86,1.75,6.65,3.88,,
Total,,,,34.07,39.38,38.46,40,58.72,,,43.53,37.78,41.67,36.55,35.14,37.41,50.11,28.64,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1872 Feb estimated (Stn commences Mar 1872),,,,,,,,,,,,,,,,,,,,
