CARDIFF-CROCKHERBTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST184766,Long,-3.1765007,Lat,51.482445,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,,3.43,2.4,,,,,,,2.56,7.79,4.76,4.63,5.87,1.91,5.81,1.73,4.71
February,,,,,,,,,,,,,,1.47,1.75,,,,,,,2.65,4.24,1.17,2.91,2.48,5.33,2.79,3.07,5.95
March,,,,,,,,,,,,,,1.5,3.34,,,,,,,1.75,3.16,3.61,2.04,1.67,3.92,2.66,1.25,1.14
April,,,,,0.1,,,,,,,,,1.61,1.38,,,,,,,5.13,1.83,0.4,1.67,2.65,2.7,2.9,4.1,2.64
May,,,,,3.9,,,,,,,,,2.17,0.88,,,,,,,0.89,2.11,2.72,0.68,2.93,0.23,2.47,4.32,2.85
June,,,,,2.4,,,,,,,,,4.4,2.3,,,,,,,1.58,3.71,1.93,1.71,5.34,1.91,1.48,3.68,
July,,,,,,,,,,,,,,0.7,1.12,,,,,,,5.11,4.67,4.03,1.79,6.28,1.24,4.94,2.01,
August,,,,,,,,,,,,,,4.55,1.3,,,,,,,2.88,3.12,3.66,4.84,3.83,6.06,5.7,10.82,
September,,,,,,,,,,,,,,5.05,3.84,,,,,,,6.67,3.67,2.75,5.46,4.05,7.08,3.25,3.21,
October,,,,,,,,,,,,,,6.13,2.85,,,,,,,4.16,4.45,4.42,4.58,7.8,3.84,4.89,5.76,
November,,,,,,,,,,,,,,3.69,3.67,,,,,,,1.37,5.56,2.29,2.71,7.78,5.27,6.54,3.06,
December,,,,,,,,,,,,,,2.09,2.5,,,,,,,2.26,6.05,1.16,4.36,1.75,7.13,3.4,2.7,
Total,,,,,,,,,,,,,,36.79,27.33,,,,,,,37.01,50.36,32.9,37.38,52.43,46.62,46.83,45.71,
