CARDIFF-CROCKHERBTOWN (PARK PLACE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST183769,Long,-3.17801,Lat,51.485128,Elevation,43,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,0.87,1.32,3.19,5.75,6.03,3.71,5.03,,,,,,,,,,,,,,,,,,,,,,2.59,1.52,4.85,1.58,4.66,7.07,,,,,,
February,,,,,,,,,,,3.88,4.81,2.56,3.73,4.4,3.65,1.32,,,,,,,,,,,,,,,,,,,,,,2.12,1.02,5.26,4.02,3.32,1.3,,,,,,
March,,,,,,,,,,,1.9,3.88,2.26,0.6,3.39,1.89,3.97,,,,,,,,,,,,,,,,,,,,,,2.97,4.38,1.14,2.35,6.01,5.01,7.21,,,,,
April,,,,,,,,,,,1.98,1.44,5.68,0.67,1.56,2.52,2.98,,,,,,,,,,,,,,,,,,,,,,2.78,2.71,3.34,2.95,0.36,4.9,,,,,,
May,,,,,,,,,,,1.45,2.62,2.72,1.9,2.37,3.86,6.28,,,,,,,,,,,,,,,,,,,,,,1.88,1.71,3.25,1.29,1.8,2.76,,,,,,
June,,,,,,,,,,6.48,2.38,3.59,4.28,3.04,1.92,2.61,0.7,,,,,,,,,,,,,,,,,,,,,,0.62,2.28,4.85,2.45,7.12,1.71,,,,,,
July,,,,,,,,,,4,6.64,2.62,5.77,3.56,4.05,0.72,,,,,,,,,,,,,,,,,,,,,,,3.57,2.65,2.81,0.24,3.43,0.56,,,,,,
August,,,,,,,,,,8.12,0.77,6.94,6.75,2.09,2.57,2.74,,,,,,,,,,,,,,,,,,,,,,,4.89,3.22,5.37,2.84,9.02,1.35,,,,,,
September,,,,,,,,,,4.85,3.67,2.09,3.94,6.14,1.96,6.51,,,,,,,,,,,,,,,,,,,,,,,5.08,3.52,0.26,1.99,0.81,3.47,,,,,,
October,,,,,,,,,,1.51,4.94,3.23,8.33,4.23,1.01,5.6,,,,,,,,,,,,,,,,,,,,,,,2.81,6.83,4.49,3.8,5.14,5.33,,,,,,
November,,,,,,,,,,0.43,3.67,4.98,6.26,6.38,2.12,5.47,,,,,,,,,,,,,,,,,,,,,,,1.31,1.63,6.27,5.71,2.57,4.96,,,,,,
December,,,,,,,,,,2.11,6.7,4.5,4.86,1.92,5.87,1.74,,,,,,,,,,,,,,,,,,,,,,,3.55,6.86,5.52,8.2,6.48,1.79,,,,,,
Total,,,,,,,,,,,38.85,42.02,56.6,40.01,37.25,41.02,,,,,,,,,,,,,,,,,,,,,,,34.17,38.33,47.41,37.42,50.72,40.21,,,,,,
