PETERBOROUGH-GAS-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,TL198991,Long,-0.23354095,Lat,52.57653,Elevation,34,ft,,,,,,,,,,,,
Station no,RR7061,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,1.59,1.25,,,,,,,,,
February,,,,,,,,,,2.79,1.27,,,,,,,,,
March,,,,,,,,,,1.64,0.95,,,,,,,,,
April,,,,,,,,,,2.48,0.26,,,,,,,,,
May,,,,,,,,,,4.01,0.94,,,,,,,,,
June,,,,,,,,,,4.35,1.59,,,,,,,,,
July,,,,,,,,,,0.34,1.94,,,,,,,,,
August,,,,,,,,,,1.51,2.03,,,,,,,,,
September,,,,,,,,,,2.16,1.3,,,,,,,,,
October,,,,,,,,,,1.37,2.36,,,,,,,,,
November,,,,,,,,,,1.07,1.19,,,,,,,,,
December,,,,,,,,,,4.21,1.4,,,,,,,,,
Total,,,,,,,,,,27.52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
