BRADSHAW SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD733119,Long,-2.4049581,Lat,53.602977,Elevation,329,ft,,,,,,,,,,,,,
Station no,2855,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.43,3.24,4.76,4.91,12.3,2.67,5.68,8.03,5.66,2.8,3.95,3.19,,,,,
February,,,,,0.97,6.82,4.46,1.87,5.63,1.42,0.47,6.97,0.12,4.14,0.42,6.3,,,,,
March,,,,,1.82,2.41,2.31,5.74,2.85,1.72,3.03,0.5,3.06,2.99,3.2,1.77,,,,,
April,,,,,1.85,2.51,1.72,3.52,1.34,1.38,2.59,4.13,4.35,2.09,2.82,3.63,,,,,
May,,,,,5.35,5.02,3.62,1.16,1.36,3.08,3.01,3.23,4.86,2.1,3.64,1.46,,,,,
June,,,,,2.74,0.02,2.31,4,6.34,1.68,2.25,6.54,0.59,2.95,2.37,5.02,,,,,
July,,,,,4.66,1.96,2.5,3.96,2.6,3.9,5.37,5.27,5.36,3.12,2.34,1.96,,,,,
August,,,,,7.92,4.69,5.4,7.73,5.69,6.6,9.06,6.49,1.71,2.36,4.68,2.01,,,,,
September,,,,,4.61,4.45,3.22,6.57,0.78,2.62,3.56,4.15,5.5,1.02,3.76,7.73,,,,,
October,,,,,4.93,4.71,4.09,4.57,6.53,7.72,7.85,3.28,9.08,4.97,6.8,10.13,,,,,
November,,,,,2.57,3.49,6.55,5.04,7.58,9.21,7.23,8.63,3.29,2.43,2.17,4.84,,,,,
December,,,,,4.87,3,3.32,1.55,3.73,8.45,4.88,2.62,2.98,0.64,6.94,3.97,,,,,
Total,,,,,45.72,42.32,44.26,50.62,56.73,50.45,54.98,59.84,46.56,31.61,43.09,52.01,,,,,
