CHRISTCHURCH-AIR-COMPRESSING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ157924,Long,-1.77796,Lat,50.73115,Elevation,4,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.45,1.91,4.84,1.26,3.95,2.03,1.95,2.1,2.23,0.83,4.97,5.67,3.7,7.46,3.13,4.45,4.02,6.13,2.47,0.55,3.13,2.71,3.71,0.46,0.67,2.83,1.82,0.91,1.48,3.33,4.3,2.59,3.67,2.78,3.36
February,,,,,,,1.92,2.84,2.14,1.02,0.67,1.9,0.05,4,0,2.54,2.79,4.82,0.69,1.63,3.62,3.28,,1.03,0.39,1.29,3.33,1.4,0.81,0.94,4.21,5,0.42,1.18,2.96,1.74,0.15,3.89,2.47,0.34,2.6
March,,,,,,,0.47,2.63,2.6,0.13,1,1.11,1.49,2.77,2.71,0.83,3.13,4.13,0.26,1.78,3.45,3.98,2.76,1.05,0.18,0.64,1.35,5.86,0.45,1.22,1.19,3.54,2.5,0.55,3.97,1.03,0.72,2.26,1.56,2.87,1.68
April,,,,,,,2.89,1.78,1.89,1.16,2.07,2.28,2.71,2.07,1.96,3.26,1.26,2.28,0,2.49,0.96,1.97,1.66,0.88,1.5,1.48,2.53,1.48,1.51,1.7,2.1,2.25,1.7,1.83,0.21,0.54,1.51,0.12,0.46,1.94,1.54
May,,,,,,,1.56,0.93,1.05,2,1.85,2.89,3.54,2.29,0.58,0.74,0.9,3.96,1.24,1.22,0.85,1.88,3.49,3.19,0.3,1.34,4.2,0.87,2,1.33,1.87,2.58,1.81,1.85,2.2,4.39,0.49,1.23,1.79,0.77,1.64
June,,,,,,,2.49,1.51,1.5,1.19,0.41,2.39,2.01,0.97,0.81,3.47,2.46,0.33,1.16,2.16,0.14,1.91,,1.66,1.41,1.78,3.72,1.23,1.31,0.3,1.43,1.14,1.19,1.27,2.49,2.64,1.75,1.65,3.73,1.2,2.44
July,,,,,,,1.75,2.2,1.45,1.56,0.86,3.69,3.45,1.79,0.56,0.3,3.92,0.92,2.93,4.76,2.9,2.04,1.67,2.48,2.36,0.52,0.62,0.9,0.88,0.21,4.14,1.33,0.26,2.6,2.97,1.19,2.17,3.04,2.42,2.89,2.93
August,,,,,,,0.6,2.87,2.26,1.52,2.57,3.07,0.64,1.1,3.5,3.18,0.25,1.51,1.83,3.23,0,3.55,2.9,1.41,2.2,1.85,1.98,0.7,2.84,0.66,1.8,4.06,2.18,1.63,2.7,0.79,2.76,1.74,3.14,1.96,4.24
September,,,,,,,0.33,5.32,1.61,0.4,2.36,1.41,3.32,,1.9,3.58,3.24,2.99,0.95,2.11,1.73,0.97,2.94,2.94,1.62,1.09,3.09,0.92,1.53,3.72,2.41,2.82,4.35,3.28,2.6,1.5,4.53,2.75,3.91,0.14,6.18
October,,,,,,,4.37,1.85,5.77,3.64,2.13,0.65,5.56,1.45,1.51,4.9,1.31,4.63,3.51,5.11,3.98,0.8,4.68,4.54,5.48,1.62,0.98,0.99,1.15,6.76,0.98,1.69,3.96,2.46,2.25,4.41,1.5,2.13,3.25,3.32,8.61
November,,,,,,,8.72,3.2,2.32,8,4.97,4.31,2.1,0.89,2.44,7.81,3.38,2.04,5.46,6,9.56,2.07,1.6,1.94,5.67,0.89,3.27,1.3,0.84,3.27,5.56,8.58,4.31,1.54,6.48,2.42,0.75,2.55,2.92,3.3,5.28
December,,,,,,,0.52,3.57,2.64,5.91,3.61,0.75,0.96,1.18,7.89,4.52,2.99,4.4,4.39,2.21,2.21,2.19,3.78,2.8,1.78,2.24,2.95,2.25,3.52,1.5,2.11,2.39,3.08,0.75,2.76,5.45,5.52,1.99,3.62,6.26,2.83
Total,,,,,,,30.07,30.61,30.07,27.79,26.45,26.48,27.78,,26.09,35.96,30.6,37.68,26.12,40.16,32.53,29.09,,30.05,25.36,15.29,31.15,20.61,20.55,22.07,28.47,38.21,27.58,19.85,33.07,29.43,26.15,25.94,32.94,27.77,43.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain gauge marked on 1970's OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Sept adjusted by nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Not printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 June 12th Gauge moved 34ft E Alt lower by 2ft but gauge 8in higher from ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb June estimated from nearby sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 June 1st Gauge moved 150ft E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Not printed Low ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 New gauge ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Will move gauge to new sewage works when completed in 1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Not printed O/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 July 4th Inspection Exposed to winds and may cause eddies New site at sewage wks not yet ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 7923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
