PRESTEIGN,,,,,,,,,,,,,,,,,,,,
Grid ref,SO316644,Long,-3.0038748,Lat,52.273478,Elevation,550,ft.,,,,,,,,,,,,
Station no,RR2734,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.94,4.74,4.66,3.42,3.82,2.75,3.37,6.31,5.4,,,,,,
February,,,,,,2.98,4.78,3.71,2.01,4.12,3.16,2.04,4.63,1.45,,,,,,
March,,,,,,1.04,3.44,4.37,3.01,1.96,2.04,2.08,3.35,3.13,,,,,,
April,,,,,,0.69,1.48,3.83,1.84,1.47,0.56,3.48,3.86,1.31,,,,,,
May,,,,,,3.81,0.49,3.24,2.12,5.55,2.44,0.8,1.98,2.05,,,,,,
June,,,,,,1.55,3.8,0.74,0.22,0.8,0.51,2.9,4.28,1.68,,,,,,
July,,,,,,2.67,1.8,3.21,0.79,0.68,0.93,4.03,5.24,2.8,,,,,,
August,,,,,,4.78,3.65,0.71,5.83,1.04,2.65,1.82,3.39,4.67,,,,,,
September,,,,,,0.09,7.52,2.79,5.13,6.63,1.48,5.14,2.9,1.27,,,,,,
October,,,,,,5.3,2.28,3.75,2.75,1.87,6.72,4.98,5.13,2.75,,,,,,
November,,,,,,4.31,2.07,0.87,1.96,2.6,3.67,1.04,6.91,2.51,,,,,,
December,,,,,,2.39,2.99,1.72,8.64,5.09,2.03,2.51,6.46,0.75,,,,,,
Total,,,,,,32.55,39.04,33.6,37.72,35.63,28.94,34.19,54.44,29.77,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the quoted long and lat on the 1860s record. Stated altitude is 50 ft. too high. Cannot find any reference to the oberver Captain Hannam. NGR could be +/- 1km.,,,,,,,,,,,,,,,,,,,,
