MARLBOROUGH-SALISBURY-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU193687,Long,-1.7238539,Lat,51.416991,Elevation,450,ft,,,,,,,,,,,,,
Station no,1531,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.25,3.62,5.8,1.52,4.54,2.18,3.37,2.95,2.96,0.72,,,,,
February,,,,,,,2.2,4.59,2.39,0.63,0.78,2.89,0.08,4.84,0.22,3.15,,,,,
March,,,,,,,1.12,3.58,2.45,0.45,1.79,0.35,2.35,3.35,2.64,0.76,,,,,
April,,,,,,,3.57,1.88,1.64,0.99,2.72,3.18,3.09,1.75,2.56,,,,,,
May,,,,,,,2.89,0.92,1,2.15,1.5,3.56,6.07,1.83,1,0.92,,,,,
June,,,,,,,2.95,3.81,2.13,1.9,1.08,3.65,1.52,1.84,1.09,,,,,,
July,,,,,,,2.21,5.25,2.74,1.96,2.8,4.26,4.9,2.67,1.4,,,,,,
August,,,,,,,1.33,4.23,1.7,1.54,2.86,4.48,0.95,0.91,2.52,2.38,,,,,
September,,,,,,,0.95,7.1,1.41,0.7,3.71,2.28,3.74,2.6,2.46,6.55,,,,,
October,,,,,,,2.99,2.83,4.62,4.66,2.23,0.74,5.4,2.98,2.23,5.26,,,,,
November,,,,,,,7.2,3.47,3.71,8.3,5.22,4.54,2.38,0.74,1.83,6.44,,,,,
December,,,,,,,0.66,3.52,3.31,7.48,3.9,1.29,1.5,0.58,8.57,4.3,,,,,
Total,,,,,,,32.32,44.8,32.9,32.28,33.13,33.4,35.35,27.04,29.48,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1935 Apr Jun Jul estimated,,,,,,,,,,,,,,,,,,,,,
1937 Gauge moved,,,,,,,,,,,,,,,,,,,,,
