"WAREHAM BINNEGAR HALL",,,,,,,,,,,,
Grid ref,SY884872,Long,-2.165561,Lat,50.684337,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.63,2.06,1.24,3.09,6.17,1.14,8.28,1.10,1.17,0.80,,
February,6.09,2.10,2.08,1.96,4.83,0.67,4.08,2.07,1.66,0.51,,
March,1.28,2.78,2.72,4.13,1.55,6.03,1.30,0.64,3.44,5.28,,
April,1.53,2.60,1.73,3.19,1.19,1.79,1.37,4.33,2.12,1.48,,
May,1.64,1.04,1.98,2.63,3.01,0.52,3.01,2.25,3.36,1.74,,
June,2.64,1.47,2.93,2.41,1.31,2.75,1.28,2.09,0.42,3.93,,
July,0.85,1.92,2.57,1.96,2.07,0.39,0.80,1.38,1.78,2.75,,
August,3.19,2.71,3.87,4.97,4.48,3.41,0.83,1.44,3.57,3.44,,
September,1.62,4.65,1.66,2.42,2.68,2.77,0.96,0.63,2.17,1.99,,
October,3.13,2.48,2.74,10.07,2.49,2.80,6.34,11.59,3.12,7.33,,
November,4.33,0.69,4.41,1.74,1.46,5.00,5.27,3.87,1.11,0.92,,
December,6.61,5.18,2.28,3.81,3.55,1.14,2.04,4.31,3.52,5.98,,
Total,37.54,29.68,30.21,42.38,34.79,28.41,35.56,35.70,27.44,36.15,,
Calc annual,37.54,29.68,30.21,42.38,34.79,28.41,35.56,35.70,27.44,36.15,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
