WAREHAM BINNEGAR HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY884872,Long,-2.165561,Lat,50.684337,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.43,1.77,1.09,3.93,2.89,1.8,2.54,3.98,3.75,1.12,2.37,0.61,4.88,4.63,2.06,1.24,3.09,6.17,1.14,8.28,1.1,1.17,0.8,3.93,1.92,5.74,5.93,0.75,3.39,1.69,1.37,3.79,8.16,4.67,4.94,5.32,1.74,4.33,5.08,4.94,2.31,6.25,1.81,4.21,2.76,2.44,2.73,3.07,1.01,5.88,6.62,4.34,6.39,3.82,4.83,4.38,7.77,2.43,2.43,3.72,3.73,6.62,0.56,0.88,3.81,2.37,0.85,2,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.2,0.72,1.7,0.91,0.05,1.31,4.69,2.96,0.02,0.38,3.62,2.61,3.79,6.09,2.1,2.08,1.96,4.83,0.67,4.08,2.07,1.66,0.51,4.76,1.95,3.51,1.72,5.35,6.37,5.99,1.07,1.74,3.73,0.47,0.57,3.1,6.17,0.5,5.76,2.26,3.39,2.69,1.5,0.97,2.26,0.08,4.99,0.08,3.47,3.55,6.39,0.95,2.06,4.7,4.68,0.11,1.22,0.54,2.33,2.8,2.31,1.28,1.47,5.79,6.85,0.72,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.22,3.79,2.73,1.24,3.06,0.75,0.26,1.45,2.76,3.11,5.16,1.36,0.7,1.28,2.78,2.72,4.13,1.55,6.03,1.3,0.64,3.44,5.28,0.93,2.81,6.03,3.04,6,0.91,4.34,3.33,1.59,4.44,2.79,1.59,3.01,1.87,1.6,0.67,0.53,3.45,3.34,0.14,1.19,1.3,2.01,3.68,3.33,1.18,4.15,4.52,0.28,1.28,3.42,3.7,2.87,0.89,0.48,1.13,1.32,8.56,1.29,1.22,1.84,4.37,2.32,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.95,1.51,2.78,3.2,0.71,0.82,0.12,2.17,2.59,0.42,2.97,1.56,3.18,1.53,2.6,1.73,3.19,1.19,1.79,1.37,4.33,2.12,1.48,2.07,2.02,0.02,3.64,1.37,1.24,0.73,1.63,2.01,1.98,3.9,1.16,4.12,3.61,3.25,2.75,4.73,2.46,1.83,0.9,2,2.3,3.06,1.77,1.93,4.07,1.98,2.52,0,2.59,1.66,2.06,1.88,1.02,2.01,0.7,2.68,2.56,1.5,1.66,2.7,2.92,1.78,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.99,2.29,1,1.92,2.15,1.07,0.73,1.41,0.37,0.07,1.45,3.1,1.25,1.64,1.04,1.98,2.63,3.01,0.52,3.01,2.25,3.36,1.74,1.8,1.01,1.57,2.15,1.24,2.44,1.59,3.22,1.95,0.66,1.83,2.31,0.92,1.85,4.52,3.92,2.62,1.22,1.41,2.24,3.8,3.33,2.82,1.43,0.7,1.7,0.48,4.29,1.81,1.09,1.37,2.95,4.03,2.31,0.35,2.04,3.81,2.29,2.53,1.98,1.63,2.78,2.59,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.42,2.99,1.9,2.68,2.03,0.88,1.12,1.73,1.6,2.22,2.48,1.13,1.23,2.64,1.47,2.93,2.41,1.31,2.75,1.28,2.09,0.42,3.93,3.87,1.73,4.35,0.52,1.23,0.73,1.79,1.72,1.52,0.86,2.45,0.76,1.16,0.4,2.29,0.14,3.38,2.65,1.96,1.61,0.54,2.33,2.8,0.81,1.46,4.3,1.75,0.52,0.62,2.92,0.24,1.67,0.38,0.68,2.53,2.86,3.1,1.79,2.44,0.72,0.95,0.22,0.76,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.85,3.73,2.41,2.61,2.08,2.54,4.48,4.95,3.26,0.73,0.84,0.34,4.15,0.85,1.92,2.57,1.96,2.07,0.39,0.8,1.38,1.78,2.75,2.99,0.23,2.83,0.75,4.35,4.01,1.37,2.45,4.59,2.26,5.49,0.99,4.7,0.74,3.28,2.88,1.95,2.22,1.71,1.24,2.02,3.74,2.21,2.32,0.3,0.37,5.03,2.64,1.93,5.21,3.25,1.81,1.46,2.39,3.39,0.99,1.06,1.22,1.14,0.5,5.57,1.38,0.71,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.04,1.93,3.55,2.71,6.1,2.95,0.68,2.1,2.38,1.3,3.38,1.48,0.71,3.19,2.71,3.87,4.97,4.48,3.41,0.83,1.44,3.57,3.44,2.64,0.89,6.26,2.17,4.15,1.35,4.35,5.85,2.19,2.97,1.54,2.16,2.93,2.21,2.78,2.65,0.81,3.49,2.93,1.74,3.71,3.58,0.94,1.31,3.96,3.32,0.09,1.92,2.38,2.68,0,4.27,4.61,1.83,2.59,1.88,4.03,1.07,4.08,1.11,3.57,5.27,2.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.36,1.65,1.04,2.39,1.22,2.79,2.1,3,0.07,9.11,2.88,1.08,2.53,1.62,4.65,1.66,2.42,2.68,2.77,0.96,0.63,2.17,1.99,0.26,1.7,2.92,3.82,1.91,1.92,2.98,1.81,6.62,1.54,1.51,0.86,1.85,2.64,3.48,3.91,0.54,6.14,2.56,0.56,3.4,1.78,3.59,2.33,3.1,3.84,2.95,3.27,2.75,1.43,2,1.05,3.43,2.07,2.2,2.72,5.11,1.44,3.35,5.16,4.19,4.35,5.08,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.8,2.41,6.5,0.69,8.29,5.98,4.85,4.18,3.18,3.67,1.17,4.14,2.15,3.13,2.48,2.74,10.07,2.49,2.8,6.34,11.59,3.12,7.33,6.87,4.84,4.49,4.7,3.61,6.18,5.35,4.94,2.1,1.78,2.43,0.87,1.65,5.65,5.11,4.66,4.68,3.03,7.77,4.98,2.38,0.67,6.38,2.13,1.87,6.66,1.97,5.48,4.38,6.16,5.12,1.14,4.97,5.15,4.76,4.5,1.57,1.57,2.43,7.6,1.31,1.05,5.44,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
