WATERBEACH-AIRFIELD,,,,,,,,,,
Grid ref,TL490665,Long,0.182538,Lat,52.276461,Elevation,17,ft,,
Station no,1210/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.61,2.72,1.98
February,,,,,,,,3.04,0.11,1.21
March,,,,,,,,0.71,2.52,1.44
April,,,,,,,,1.01,1.11,0.29
May,,,,,,,,2.55,0.48,0.69
June,,,,,,,,4.67,1.42,2.33
July,,,,,,,,4.51,3.31,3.77
August,,,,,,,,2.89,0.65,3.03
September,,,,,,,,2.43,0.04,5.69
October,,,,,,,,1.62,1.5,4.16
November,,,,,,,,1.53,1.19,4.23
December,,,,,,,,2.32,2.89,2.7
Total,,,,,,,,28.89,17.94,31.52
