"DARWEN, SPRING BANK SCHOOL",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD694206,Long,-2.4647515,Lat,53.680957,Elevation,710,ft,,,,,,,,,,,,,
Station no,2939,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.37,7.71,7.46,6.49,3.81,4.56,3.3,7.38,4.49,6.84,6.48,2.21
February,,,,,,,,,,1.48,0.62,6.8,0.22,6.04,0.54,7.81,3.83,7.38,2.38,5.49,2.94
March,,,,,,,,,,2.26,3.83,0.62,3.52,3.62,3.48,1.76,4.19,2.44,2.14,3.56,4.21
April,,,,,,,,,,1.73,3.24,4.01,4.53,2.38,3.56,4.52,1.36,4.86,0.89,3.34,4.33
May,,,,,,,,,,3.75,2.55,2.77,4.96,2.41,5.04,1.75,0.91,2.47,4.94,1.99,0.81
June,,,,,,,,,,2.1,2.97,6.46,1.46,3.5,2.56,3.85,5.06,2.54,6.01,4.52,1.08
July,,,,,,,,,,3.81,6.92,5.09,4.74,3.89,2.53,2.27,5.37,2.28,5.36,8.78,6.02
August,,,,,,,,,,6.46,9.87,6.01,1.58,4.1,6.07,2.96,3.21,2.42,4.17,3.97,3.11
September,,,,,,,,,,2.4,3.6,4.24,7.35,1.14,4.82,9.29,6.33,2.12,3.21,1.8,5.88
October,,,,,,,,,7.06,9.21,6.32,3.73,9.31,5.34,8.1,10.78,6.43,2.91,11.51,2.94,5.45
November,,,,,,,,,8.27,10.46,8.16,9.72,4.14,2.93,3.29,6.37,7.42,2.31,8.18,10.37,7.77
December,,,,,,,,,3.76,10.22,5.81,3,2.72,1.34,8.25,5.38,5.91,3.39,7.48,3.73,6.58
Total,,,,,,,,,,57.25,61.6,59.91,51.02,40.5,52.8,60.04,57.4,39.61,63.11,56.97,50.39
