BONCHURCH THE LILLIES,,,,,,,,,,,,
Grid ref,SZ578783,Long,-1.184635,Lat,50.601568,,,,,,,
Station no,RR8485,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.93,1.07,,,,,,,,,,
February,5.55,1.25,,,,,,,,,,
March,1.21,2.29,,,,,,,,,,
April,1.49,2.53,,,,,,,,,,
May,1.19,0.54,,,,,,,,,,
June,3.01,1.94,,,,,,,,,,
July,0.90,4.21,,,,,,,,,,
August,2.10,1.74,,,,,,,,,,
September,0.86,2.12,,,,,,,,,,
October,2.70,3.42,,,,,,,,,,
November,3.31,0.62,,,,,,,,,,
December,3.73,3.55,,,,,,,,,,
Total,29.98,25.28,,,,,,,,,,
Calc annual,29.98,25.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
