LOCH COULTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS757858,Long,-3.997208,Lat,56.048874,Elevation,713,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5352/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.2,5.06,10,5.6,2.11,1.16,5.7,7.23,6.46,2.68,7.11,5.23,6.85,7.5,4.12,5.58,4.4,1.5,4.99,3.15,3.72,9,6.3,2.31,5.69
February,,,,,,2.77,5.85,3.13,7.45,2.05,4.3,2.95,5.7,2.5,7.03,4.15,2,6.62,6.1,6.3,3.1,1.67,2.1,4.48,3.05,1.44,3.4,2.06,2.53,4.27
March,,,,,,3.65,2.2,4.57,4.24,4.74,2.74,4.95,4.1,0.76,5.38,3.7,4.71,4.53,2.2,3.96,3.26,4.88,1.94,4.66,1.9,2.34,5.76,1.83,3.4,2.34
April,,,,,,1.83,2.58,0.65,2.6,4.05,2.09,4.39,3.64,3.5,2.6,1.85,6.94,3.7,5.47,3.21,4.91,2.15,1.81,1.83,2.29,1.15,2.94,1.41,4.33,4.76
May,,,,,,0.86,1.6,5.63,1.32,1.27,3.93,3.49,4.44,3.7,5.73,2.08,3.46,2.33,2.4,2.3,1.68,2.16,2.5,4.53,3.93,2.97,3.06,4.15,1.32,3.73
June,,,,,,2.1,2.78,6.15,3.18,1.03,1.15,1.79,4.56,4.33,5.06,4.1,4.44,5.81,1.18,2.3,3.26,3.75,2.43,3.99,2.09,3.82,2.06,3.86,2.93,3.22
July,,,,,,3.93,3.59,4.74,6.53,4.94,3.74,2.08,3.35,3.7,3.75,4.7,3.63,4.64,2.91,6.87,5,2.08,7.49,2.68,1.29,4.2,4.9,7.43,6.71,5.03
August,,,,,,3.47,2.35,3.12,1.56,1.95,4.69,5.6,7.3,6.85,2.1,4.27,0.05,10.44,5.8,6.29,7,5.06,2.74,4.93,1.55,7.15,4.89,5.64,1.45,3.84
September,,,,,,3.99,4.15,6.24,2.22,2.2,2.1,7,3.87,5.62,6.82,7.26,5.31,7.13,2.4,7.41,4.71,3.1,5.38,7.9,4.58,7.11,3.12,4.29,1.23,3.6
October,,,,,,5.68,4.15,9.08,2.86,5.86,5.61,5.58,8.98,5.05,7.17,0.8,2.71,7.11,6.46,4.43,1.22,4.03,2.32,10.7,3.63,5.36,5.7,4.83,5.18,5
November,,,,,,4.14,0.72,9.35,10.88,6.4,3.9,1.26,3.67,8.03,0.72,7,6.88,3.93,4.95,4.08,7.03,2.15,8.5,7.49,2.34,1.16,1.63,2.09,7.26,6.66
December,,,,,,7.42,2.75,4.79,2.87,5.6,4,7.1,2.52,6,4.49,6,2.45,7.04,7.4,2.16,6.88,4.67,6.43,7.68,8.45,6.29,7.31,6.56,9.11,7.04
Total,,,,,,45.04,37.78,67.45,51.31,42.2,39.41,51.89,59.36,56.5,53.53,53.02,47.81,70.13,54.77,53.43,53.63,40.1,45.14,65.86,38.25,46.71,53.77,50.45,47.76,55.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Apr Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 NP Unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5352/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,896255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
