HELENSBURGH WATER WORKS (VALVE HOUSE),,,,,,,,,,,,
Grid ref,NS303836,Long,-4.723906,Lat,56.015189,,,,,,,
Station no,5320,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.14,2.72,3.18,6.50,3.70,3.01,5.70,3.50,5.62,5.20,,
February,3.34,1.66,2.25,5.57,4.68,2.97,3.20,3.41,2.67,2.19,,
March,0.39,1.80,2.80,6.19,2.08,3.95,3.62,5.14,4.72,1.91,,
April,2.67,2.44,1.43,1.18,4.14,2.90,1.22,2.21,1.32,4.17,,
May,3.32,1.82,2.62,2.79,3.58,2.19,5.36,4.21,2.45,3.30,,
June,3.62,3.59,1.74,2.89,2.51,0.86,1.43,4.88,2.44,2.97,,
July,3.71,2.30,3.68,4.21,1.97,3.00,2.65,2.80,4.23,3.30,,
August,5.13,4.22,3.06,7.65,4.58,4.94,3.86,6.03,4.15,2.88,,
September,3.97,2.52,4.02,3.82,4.20,2.26,2.26,1.91,6.40,2.15,,
October,6.82,4.70,1.98,9.99,2.13,4.34,6.43,4.99,1.19,5.92,,
November,5.75,3.50,4.14,2.95,2.86,4.60,4.52,3.39,2.92,2.23,,
December,7.50,4.60,5.12,3.78,5.21,3.88,4.30,6.16,4.14,6.38,,
Total,52.36,35.87,36.02,57.52,41.64,38.90,44.55,48.63,42.25,42.60,,
Calc annual,52.36,35.87,36.02,57.52,41.64,38.90,44.55,48.63,42.25,42.60,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
