"HELENSBURGH, VALVE HOUSE",,,,,,,,,,
Grid ref,NS303836,Long,-4.723906,Lat,56.015189,Elevation,293,ft,,
Station no,5320,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,4.13,5.69,4.59,,,,,,
February,,6.44,5.02,3.21,,,,,,
March,2.61,1.72,6.03,4.46,,,,,,
April,4.56,3.52,1.99,4.01,,,,,,
May,1.96,2.7,2.69,4.58,,,,,,
June,2.82,3.64,6.11,3.84,,,,,,
July,5.51,4.14,2.58,2.22,,,,,,
August,10.05,4.38,5.62,2.4,,,,,,
September,1.95,2.59,3.94,2.57,,,,,,
October,2.28,3.93,6.51,2.27,,,,,,
November,4.29,4.66,4.33,5.64,,,,,,
December,5.65,7.86,7.32,4.11,,,,,,
Total,,49.71,57.83,43.9,,,,,,
,,,,,,,,,,
1910Jan+ T deleted est,,,,,,,,,,
1914 Deleted crossed out,,,,,,,,,,
