HELENSBURGH WATER WORKS (VALVE HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS303836,Long,-4.723906,Lat,56.015189,Elevation,293,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.56,4.99,4.94,7.62,3.41,7.05,4.97,8.56,10.24,7.12,6.75,7.02,6.1,7.48,7.47,13.09,3.02,7.17,6.49,8.78,6.41,7.61,3.06,5.83,9.03,8.19,4.22,2.9,1.35,7.44,5.33,8,4.32,7.45,6.1,8.84,6.63,5.04,6.4,5.61,2.95,7.74,3.23,4.51,7.79,5.37,2.55,4.79
February,,4.83,6.22,8.46,6.92,1.65,7.6,2.13,8.59,1.99,5.79,6.73,1.74,4.72,7.51,5.02,6,3.21,0.44,5.41,0.05,5.61,1.15,7.43,3.32,6.78,3.77,6.66,3.08,5.27,1.6,6.12,2.54,8.49,4.25,1.61,5.81,5.55,5.77,3.43,2.26,2.61,5.53,3.35,1.88,4.29,3.53,2.07,4.34
March,,6.42,6.77,3.96,1.86,3.67,2.01,4,5.73,7.18,2.74,2.5,1.7,3.26,5.63,5.59,5.85,2.07,3.32,1.67,2.89,2.79,3.36,2.28,3.29,2.35,5.51,4.77,4.69,3.28,5.33,3.93,1.52,4.09,3.37,4.71,4.97,2.94,3.41,3.57,4.18,1.88,3.39,2.11,3.2,6.65,1.34,3.24,3.11
April,,4.95,3.24,3.76,4.87,2.06,0.8,3.07,2.4,1.57,3.8,5.09,3.35,6.83,2.76,4.06,2.92,1.76,2.38,2.95,4.61,2.83,3.44,4.1,1.54,2.71,0.86,2.94,3.31,2.57,2.29,4.37,3.62,2.63,2.19,6.81,3.25,6.34,3.31,2.89,2.8,2.56,3.2,3.66,2.06,2.74,2.04,3.9,4.96
May,,5.05,2.56,1.39,5.45,4.28,3.47,1.23,6.23,3.65,5.38,2.42,5.18,7.88,3.66,3.9,2.49,3.77,2.83,5.34,3.29,4.06,4.14,0.7,2.06,1.59,4.44,1.83,1.05,3.48,3.28,4.52,4.04,4.94,2.18,5.55,2.02,2.55,1.52,2.33,1.7,3.43,4.69,3.48,3.03,2.87,4.55,1.43,2.85
June,6.38,3.84,0.94,2.11,2.21,4.54,1.83,3.96,2.45,0.73,2.88,1.55,3.46,1.31,4.12,5.93,7.62,3.99,3.82,7.07,1.37,2.64,3.25,3.61,1.85,4.3,6.3,2.95,0.72,1.23,2.93,3.52,4.21,4.63,4.18,4.45,4.87,1.06,3.09,2.01,3.31,1.51,3.33,3.76,2.69,2.55,3.51,2.58,3.53
July,2.81,2.22,3.11,4.33,3.04,2.38,4.54,1.92,3.96,5.86,4.84,4.2,5.63,2.41,3.09,4.72,4.74,4.95,3.42,3.59,3.29,5.03,2.47,2.47,5.41,3.98,4.87,5.53,3.79,3.58,3.58,3.4,5.2,4.73,4.05,5.25,4.94,4.03,7.05,3.67,2.78,6,4.17,1.44,5.37,6.78,5.52,7.07,4.92
August,5.92,2.47,6.32,2.39,4.49,6.18,5.3,4.24,6.26,8.09,2.89,8.33,4.71,4.6,5.22,7.88,5.36,7.43,6.96,2.82,2.91,4.52,4.8,3.61,4.01,4.22,2.44,1.88,2.66,5.73,5.83,9.53,3.84,2.69,4.01,0.04,7.84,4.81,6.23,3.95,5.01,4.72,5.43,1.15,5.8,4.49,6.21,1.67,3.14
September,4.33,2.72,2.85,1.95,1.9,3.63,6.63,3.96,3.91,3.23,3.2,8.68,6.66,4.72,4.2,8.9,5.14,2.09,4.78,1.49,5.24,0.79,6.09,7.89,3.75,3.29,5,4.82,3.72,1.85,5.98,3.87,5.01,6.38,6.89,5.52,7.54,1.94,10.79,4.32,3.55,5.76,8.07,5.02,5.19,3.16,4.68,1.83,3.24
October,7.49,2.89,2.51,3.61,9.65,8.92,6.93,1.02,3.2,5.45,2.82,8.31,4.59,5.16,7.95,7.61,8.88,8.2,8.65,4.38,7.81,3.35,9.76,12.32,7.25,3.17,10.3,3.2,6.8,6.14,7.94,10.02,5.24,6.67,0.6,2.89,11.17,8.11,7.29,1.92,5.81,3.98,10.35,5.01,4.45,5.6,5.31,4.71,3.56
November,5.86,7.51,7.16,3.32,6.77,10.19,8.37,4.96,6.52,5.06,4.89,5.53,5.26,1.17,8.1,6.27,9.5,8.37,7.56,7.54,5.93,4.01,2.38,5.43,5.11,1.13,10.15,8.99,7.1,5.29,1.33,3.17,8.23,0.84,6.95,8.95,4.6,5.74,3.42,7.59,3.54,9.05,6.81,2.74,2.77,2.14,2.34,5.39,6.06
December,12.13,5.33,8.72,7.47,7.05,4.07,6.69,8.59,5.32,11.37,5.22,5.7,8.38,4.86,3.95,1.96,6.49,14.08,5.67,5.53,8.99,1.33,8.93,4.86,9.2,3.44,6.44,3.92,6.73,3.79,7.65,3.21,5.9,5.9,6.36,3.2,7.29,10.16,3,9.59,7,5.71,8.78,8.38,7.49,5.81,5.65,8.55,5.12
