WEST HOATHLY RAILWAY STATION,,,,,,,,,,,,
Grid ref,TQ371328,Long,-0.044227,Lat,51.078152,,,,,,,
Station no,574/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.09,5.49,3.55,3.75,3.37,4.39,,
February,,,,,2.07,0.53,6.35,2.57,0.01,2.97,,
March,,,,,1.35,1.01,1.71,2.09,2.12,2.18,,
April,,,,,0.36,1.57,0.16,1.96,3.15,0.97,,
May,,,,,5.22,0.63,1.61,3.49,0.53,1.48,,
June,,,,,2.37,3.26,1.12,4.21,1.07,2.13,,
July,,,,,0.75,3.75,3.72,2.48,1.92,3.76,,
August,,,,,0.90,4.34,3.24,3.20,0.83,5.87,,
September,,,,,2.66,4.27,4.04,8.07,0.12,3.38,,
October,,,,,4.83,2.34,2.29,3.06,4.13,7.66,,
November,,,,,1.89,0.95,4.72,2.10,4.07,7.53,,
December,,,,,4.05,5.57,3.08,5.23,8.43,4.91,,
Total,,,,,30.54,33.71,35.59,42.21,29.75,47.23,,
Calc annual,0.00,0.00,0.00,0.00,30.54,33.71,35.59,42.21,29.75,47.23,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
