CROW PARK KESWICK monthly gauge 10 inch,,,,,,,,,,,,,,,,,,,,
Grid ref,NY263230,Long,-3.1422,Lat,54.597,Elevation,295,ft,,,,,,,,,,,,
Station no,RR2182,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,8.95,4.6,4.4,10.7,4.9,7.6,7.7,5,4.4,,,,,,,,
February,,,,3.3,3.2,3,4.9,4.3,6.3,8.2,4.8,3.7,,,,,,,,
March,,,,2.2,4.8,1.9,4.7,3.5,6.7,0.5,2.1,4.2,,,,,,,,
April,,,,3.8,1.8,0.6,2.3,5.5,3.5,2,2.5,2.1,,,,,,,,
May,,,,3.9,1.8,6.1,1.5,2.4,2.7,1.9,4.8,0.9,,,,,,,,
June,,,,3.1,3.7,1.1,2.7,1.8,1,2.2,2,1.8,,,,,,,,
July,,,,1.2,2.5,2.8,5.1,5,0.3,1.8,0.8,3.8,,,,,,,,
August,,,,5.9,2.1,4.8,6.4,2.8,6,1.8,3.4,4,,,,,,,,
September,,,,8.85,7.7,1.8,8.7,4.1,2.7,10.2,5.8,2.2,,,,,,,,
October,,,,7.5,4,5.5,3.1,5.6,6.2,3.8,9.6,4.1,,,,,,,,
November,,,,6.8,7.8,5.1,7.8,0.6,3.7,6.7,3.7,1.7,,,,,,,,
December,,,,5,4,5.9,6.4,3.6,8.3,8.6,1.9,5.5,,,,,,,,
Total,,,,60.5,48,43,64.3,44.1,55,55.4,46.4,38.4,,,,,,,,
