DYLIFFE-OBSERVER-ISAAC-JONES,,,,,,,,,,,,,,,,,,,,
Grid ref,SN859939,Long,-3.6834577,Lat,52.530979,Elevation,1300,ft.,,,,,,,,,,,,
Station no,RR2419,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,12,,6,5.2,19,-999,,,,,,
February,,,,,,,,,13.5,,4.5,5.8,6.5,-999,,,,,,
March,,,,,,,,,7,,5,5.2,5.5,7,,,,,,
April,,,,,,,,,4,,5,7,5,4.5,,,,,,
May,,,,,,,,,1.9,,4,4.5,5.5,3.5,,,,,,
June,,,,,,,,,1.1,,7,2.5,5.5,2,,,,,,
July,,,,,,,,,0.5,,1.5,8,6,7.5,,,,,,
August,,,,,,,,,5,,5,7,6,5,,,,,,
September,,,,,,,,,3,,6.5,8,13,7,,,,,,
October,,,,,,,,,9.5,6.9,11.5,6,7,7,,,,,,
November,,,,,,,,,13.9,9.9,6.5,6,8,,,,,,,
December,,,,,,,,,12.1,9.7,6.3,5.5,16.5,,,,,,,
Total,,,,,,,,84.7,83.5,,68.8,70.7,103.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is the lead works in Dyliffe at about the right altitude. There are many mine workings in Dylife and NGR could be +/-500m,,,,,,,,,,,,,,,,,,,,
"Sept 1970 readings could be 17.5, but this seems implausible and the stated total does not equal the sum of monthly readings, the readings of 11.5 used makes totals match",,,,,,,,,,,,,,,,,,,,
"The observer also recorded the following readings Oct to Dec 1866 24.90, Jan to Mar 1867 14.10, Apr to Jun 1877 23.60, Jul to Sep 1867 22.5, Sep to Dec 1867 24.5 and Jan to Feb 1873 12.0",,,,,,,,,,,,,,,,,,,,
