"ALNWICK, BELLE VUE HOUSE",,,,,,,,,,
Grid ref,NU185128,Long,-1.7093769,Lat,55.408785,Elevation ,304,ft,,
Station no,RR2741,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.57,1.14,0.84,1
February,,,,,,,0.3,0.45,0.88,0.58
March,,,,,,,4.16,1.36,2.86,2.42
April,,,,,,,1.58,0.9,2.01,3.41
May,,,,,,,2.61,1.36,1.09,2.21
June,,,,,,,1.61,0.32,2.28,0.57
July,,,,,,,3.27,2.66,4.14,3.74
August,,,,,,,1.13,1.74,2.09,4.84
September,,,,,,,2.18,4.65,1.45,2
October,,,,,,,4.35,1.59,0.8,4.73
November,,,,,,,3.05,2.96,4.67,0.53
December,,,,,,,2.8,2.47,1.65,1.76
Total,,,,,,,29.61,21.6,24.76,27.79
