NORTHAMPTON-STIMPSON-AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP768615,Long,-0.876541,Lat,52.246333,Elevation,329,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.29,2.4,2.18,3.1,1.05,2.14,1.02,2.57,2.03,3.28,1.22,2.73,1.16,1.53,1.26,1.57,0.89,3.74,3.69,2.4,5.14,2.51,2.78,2.07,3.44,1.32,1.89,1.57,1.41,3.75,0.63,0.64,2.58,1.47,1.11,0.87,1.88,3.43,1.04,2.76,3.73,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.46,0.72,0.29,1.96,4.07,0.43,2.68,2.98,2.78,1.65,0.51,0.52,2.09,0.21,2.19,0.45,2.15,1.93,3.34,0.81,0.83,2.03,1.59,0.68,0.92,0.96,1.52,2.1,1.03,1.01,1.09,3.68,3.03,0.63,1.54,1.9,1.31,0.38,1.99,2.94,0.06,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.6,1.92,0.8,1.55,1.72,0.69,0.45,0.49,1.85,1.62,0.07,1.45,0.06,1.43,2.49,1.59,0.28,1.33,2.46,0.13,1.4,1.68,2.47,1.28,0.85,0.1,0.87,1.15,4.86,0.94,1.65,0.77,3.43,2.32,0.84,2.36,2,0.78,1.74,1.96,3.13,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.76,4.82,0.94,3.1,2.08,2.68,1.52,2.97,1.28,1.32,1.51,2.02,3.47,2.6,0.62,1.94,3.66,1.82,2.68,0.06,2.3,2.15,1.42,0.64,0.63,1.63,0.92,1.53,1.98,1.55,1.64,1.91,2.71,2.07,1.69,0.26,0.63,1.04,0.32,1.08,2.17,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.38,1.32,1.23,1.26,1.08,4.04,2.41,2.88,0.86,0.95,1.27,2.6,2.25,4.78,1.32,0.69,1,1.45,4.04,1.26,1.26,1.79,2.02,2.81,1.65,0.92,1.72,2.23,1.13,3.34,2.49,2.6,2.69,2.67,1.11,3.07,4.92,0.36,1.49,2.09,0.38,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.67,2.13,0.29,1.09,0.6,1.93,0.01,2.03,3.36,2.39,1.06,1.23,1.52,0.74,2.36,0.87,4.54,2.72,1.38,1.11,1.77,1.94,1.02,1.45,1.31,2.56,2.27,2.67,1.16,2.16,0.27,2.25,0.72,0.89,1.82,2.79,3.07,3.11,1.93,4.3,0.74,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.85,2.62,0.36,3.86,2.7,2.86,2.45,1.63,2.54,2.85,1.95,2.44,3.12,2.89,1.64,1.42,0.5,4.14,1.57,1.49,2.57,4.05,2.96,2,0.62,1.98,1.94,1.02,2.74,1.18,1.05,3.3,0.86,0.25,2.6,2.45,0.01,4.86,3.18,2.61,2.15,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.15,,2.12,0.68,1.92,4.75,1.61,1.94,1.59,1.38,3.41,1.69,0.83,2.06,2.94,2.19,0.85,1.47,1.51,0.29,0.85,4.02,4.07,0.15,4.67,1.59,1.37,2.23,1.36,3.41,0.01,3.19,1.05,1.87,3.57,3.32,2.5,3.35,0.37,4.7,2.53,2.96,0.66,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.34,1.78,1.06,2.16,2.44,2.75,3.56,1.43,4.35,0.89,0.49,3.2,2.53,2.55,1.42,1.98,4.66,3.32,1.85,1.81,0.59,0.91,0.31,1.1,1.43,2.49,2.74,3.46,1.27,2.51,1.3,4.2,1.68,1.71,1.19,1.97,1.41,1.9,4.55,2.37,0.04,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.41,1.03,1.06,0.7,3.47,3.51,3.01,2.17,1.61,3.68,2.88,1.01,0.37,3.13,1.87,1.17,3.55,1.68,2.93,2.79,5.91,2.42,2.16,2.45,1.69,3.18,3.39,1.22,0.2,3.59,4.61,0.8,0.69,2.86,1.91,1.66,1.84,1.27,1.26,2.09,1.6,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
