HIGHCLERE-BLACK-FORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU437603,Long,-1.37376,Lat,51.34071,Elevation,439,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.93,5.59,3.08,6.26,1.57,5.09,2,3.21,2.95,3.01,0.63,5.27,6.44,3.7,5.45,2.46,3.02,3.67,6.11,2.57,,,,,,
February,,,,,,5.1,2.44,5.34,2.35,0.61,0.72,2.19,0.16,5.1,0.16,4.45,2.66,6.24,0.71,1.83,3.18,3.32,0.55,1.77,0.72,,,,,,
March,,,,,,0.47,0.82,4.21,3.11,0.14,1.1,0.28,2.07,4.05,3.14,0.72,2.62,4.76,0.27,1.33,2.68,3.55,2.1,0.71,0.26,,,,,,
April,,,,,,2.99,3.01,2.08,2.13,0.92,2.36,3.32,3.39,1.51,2.44,4.56,2.23,2.95,0.04,3.22,1.27,2.08,2.65,1,1.61,,,,,,
May,,,,,,4.98,2.33,0.85,1.53,2.14,1.72,2.82,5.27,1.7,0.95,1.1,0.51,3.42,1.75,1.47,1.15,1.92,4.19,3.78,1.28,,,,,,
June,,,,,,0.03,2.41,3.21,2.55,1.45,1.27,2.34,1.92,3.67,1.34,6.74,2.15,1.26,1.03,2.18,0.92,1.73,0.23,1.21,3.01,,,,,,
July,,,,,,3.32,2.26,3.64,1.87,1.27,2.47,4.58,1.87,2.44,1.51,1.73,4.84,1.51,2.26,5.78,2.95,2.93,1.92,1.57,3.14,,,,,,
August,,,,,,2.22,0.98,3.72,1.71,0.85,2.92,3.08,1.4,0.37,3.01,3.61,0.71,0.96,1.9,2.61,0.09,4.46,2.99,1.89,1.79,,,,,,
September,,,,,,3.32,1.33,6.28,1.7,0.62,3.29,2.05,4.09,2.75,2.44,5.43,3.18,2.41,1.65,1.08,1.84,0.4,2.12,1.69,2.79,,,,,,
October,,,,,,4.26,3.12,2.69,6.08,3.89,1.91,0.7,5.33,2.87,1.47,4.31,2.07,4.25,4.78,4.73,4.03,1.76,4.01,4.31,5.06,,,,,,
November,,,,,,2.36,7.27,3.9,3.71,9.54,5.15,4.09,1.88,0.74,2.21,6.2,3.71,1.63,4.76,6.64,9.06,3.27,1.97,1.94,7.1,,,,,,
December,,,,,,3.79,0.39,4.54,3.18,8.81,3.62,1.08,1.33,0.46,9.24,4.2,4.04,3.08,4.97,2,1.94,2.03,5.72,2.16,3.13,,,,,,
Total,,,,,,35.77,31.95,43.54,36.18,31.81,31.62,28.53,31.92,28.61,30.92,43.68,33.99,38.91,27.82,38.32,31.57,30.47,32.12,28.14,32.46,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from Boxhall Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
