HAMPTON-WW-GAUGE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ131695,Long,-0.3750903,Lat,51.413249,Elevation,42,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.3,0.62,1.84,0.96,1.42,1.07,3.33,2.28,0.51,3.63,0.87,1.04,2.67,3.28,1.64,1.84,1.98,1.14,2.44,,,,,,
February,,,,,,,1.76,1.26,0.89,0.43,2.22,1.04,1.43,0.82,2.29,3.06,3.05,0.82,0.75,1.96,0.37,0.25,1.64,2.61,0.65,,,,,,
March,,,,,,,1.14,0.86,2.37,2.91,0.87,1.55,2.23,2.27,4.08,0.68,4.54,1.74,0.88,2.97,1,1.17,1.48,2.13,0.75,,,,,,
April,,,,,,,0.4,3.46,2.58,1.39,1.12,1.94,0.13,2.31,0.68,1.17,1.07,1.6,2.95,2.56,2.47,0.81,2.51,1.7,3.48,,,,,,
May,,,,,,,2.34,1.73,1.78,1.49,1.74,1.79,1.21,1.89,1.2,3.12,1.95,1.55,1.77,0.14,0.64,1.22,1.07,2.37,3.02,,,,,,
June,,,,,,,2.53,2.15,2.41,4.08,2.4,1.9,3.15,0.27,3.78,1.32,1.79,2.92,0.8,1.27,1.79,0.34,0.97,0.26,2.85,,,,,,
July,,,,,,,0.93,1.39,2.53,3.36,2.81,0.98,1.63,2.1,2.12,3.34,1.46,5.49,4.64,2.53,4.52,0.08,2.79,3.19,3.62,,,,,,
August,,,,,,,1.07,2.15,2.9,1.7,1.86,0.81,4.9,1.44,1.42,2.14,3.12,3.52,0.87,2.14,1.59,0.9,2.19,1.38,2.42,,,,,,
September,,,,,,,2.3,0.51,1.49,2.32,0.79,1.19,2.29,1.76,0.82,2.19,1.59,1.71,5.27,1.49,2.32,1.87,1.43,1.43,3.49,,,,,,
October,,,,,,,3.42,3.87,2.37,3.24,2.62,2.95,2.2,3.9,1.29,2.8,3.5,2.85,1.13,0.65,1.97,0.69,0.9,5.37,3.35,,,,,,
November,,,,,,,4,1.94,0.63,0.74,2.67,3.1,1.61,1.96,2.27,1.88,3.22,0.92,1.9,1.31,1.22,1.77,1.17,1.4,2.49,,,,,,
December,,,,,,,1.92,2.79,1.99,2.3,2.86,4.28,2.36,0.99,5.66,5.07,2.21,1.25,2.12,3.12,1.83,1.01,2.79,2.12,2.83,,,,,,
Total,,,,,,,25.11,22.73,23.78,24.92,23.38,22.6,26.47,21.99,26.12,30.4,28.37,25.41,25.75,23.42,21.36,11.95,20.92,25.1,31.39,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on a sketch included in the 1920s record and is confirmed by the relationships to the station and church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaages 1 and 2 overlap for 1 year in 1924 and 5 readings are duplicated but it is not clear which gauge readings are copied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
