HAMPTON-WW-GAUGE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ132694,Long,-0.37368488,Lat,51.41233,Elevation,27,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.43,1.73,2.61,1.79,2.99,1,2.92,1.18,1.52,1.29,1.28,0.84,3.77,3.6,2.19,3.33,1.9,2.05,1.67,4.3,1.34,1.4,,,,,
February,,,,,0.58,3.39,2.03,3.71,1.46,0.35,0.61,1.54,0.15,2.7,0.2,2.08,1.62,3.61,0.3,0.61,1.05,1.65,0.55,1.18,0.6,1.23,,,,,
March,,,,,0.75,0.42,0.16,2.51,1.21,0.05,1.58,0.19,1.26,2.45,2.04,0.24,1.02,2.8,0.24,0.73,2.18,2.79,1.48,0.31,0.06,0.89,,,,,
April,,,,,3.44,1.78,2.54,1.55,1.25,0.87,1.37,3.61,2.35,0.53,1.87,2.6,1.65,1.84,0.05,1.79,1.49,1.22,0.71,0.58,1.22,1.13,,,,,
May,,,,,3.02,2.03,1.58,1.32,2.42,1.14,2.47,2.52,4.87,2.1,0.47,1.28,0.59,2.15,1.33,1.37,1.14,1.18,2.63,1.49,0.72,2.14,,,,,
June,,,,,2.82,0.04,3.58,2.66,2.08,0.81,0.9,1.38,0.96,1.33,0.66,3.13,3.33,2.35,0.5,1.22,0.51,1.66,1.16,1.02,1.52,1.15,,,,,
July,,,,,3.54,3.47,1.62,2.92,2,1.41,1.47,3,2.11,2.09,2.4,1.69,2.59,0.69,1.1,1.6,2.18,2.93,1.68,1.86,2.08,3.3,,,,,
August,,,,,2.28,2.53,0.95,3.01,2.45,1.85,2.26,4.31,0.82,0.55,1.91,2.37,0.46,2.44,1.88,1.87,0.09,4.4,2.26,1.06,2.18,1.34,,,,,
September,,,,,3.44,2.38,1.02,4.48,0.89,0.1,2.76,2.09,2.13,2.31,1.29,3.15,2.17,1.47,2.03,0.94,1.13,0.4,0.61,1.61,1.85,,,,,,
October,,,,,3.35,2.68,1.96,1.23,3.83,2.64,0.96,0.64,4.8,1.35,1.01,2.3,1.87,2.38,1.96,4.31,1.8,0.75,3.28,2.39,2.41,,,,,,
November,,,,,2.49,1.63,4.9,2.72,1.74,5.4,4.09,2.3,1.18,0.77,1.86,4.4,2.72,1.38,2.35,4.14,5.18,2.33,1.98,1.04,3.25,,,,,,
December,,,,,2.83,2.62,0.26,3.76,2.23,4.42,1.88,0.54,0.47,0.45,4.17,2.21,1.73,4.19,2.65,0.78,0.61,1.03,2.02,1.22,1.01,,,,,,
Total,,,,,30.97,24.7,23.21,31.66,24.55,20.04,23.27,23.3,22.62,17.92,19.16,26.29,23.52,28.9,16.58,22.69,19.26,22.39,20.03,18.06,18.24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on covered reservoir as noted on the record sheets, this is slightly different to position noted on sketch on page 123.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauges 1 and 2 overlap for 1 year in 1924 and 5 readings are duplicated but it is not clear which gauge readings are copied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauges 2 and 3 overlap for 20 months and one reading is duplicated, suspicious?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
