MAUCHLINE (HILLHEAD TANK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS494283,Long,-4.387274,Lat,55.525139,Elevation,564,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.18,4.98,2.71,3.85,4.21,5.85,3.43,2.87,0.65,5,3.83,5.57,3.87,4.13,3.61,7.39,5.23,3.02,3.74,4.94,3.43,4.78,2.69,2.98,4.59,3.41,1.57,4.15
February,,,3.94,0.76,5.18,1.63,4.19,1.71,4.84,1.41,1.63,1.41,4.85,1.65,5.82,2.62,0.19,2.96,4.36,3.66,2.62,2.26,1.04,2.54,1.49,1.56,2.5,4.4,2.09,3.6
March,,,2.77,2.46,2.4,2.34,0.71,2.65,3.31,5.75,2.66,1.31,2.16,0.58,3.17,1.69,2.05,3.88,2.48,3.34,3.6,1.48,0.95,2.31,1.52,2.43,4.38,0.81,2.18,3.02
April,,,2.65,3.32,3.17,0.58,1.8,0.68,2.35,2.15,1.6,1.05,3.74,3.21,1.45,1.12,4.54,3.04,4.44,4.12,2.44,1.83,2.14,1.48,2.62,1.04,2.72,1.66,2.78,2.92
May,,,2.08,3.04,0.73,1.45,1.28,2.89,0.57,1.07,3.88,1.69,3.85,2.89,3.94,1.1,3.62,1.52,1.69,2.15,2.04,1.64,1.9,3.13,3.41,1.99,2.13,3.41,1.41,1.56
June,,,1.79,2.45,4.39,2.08,3.45,5.31,1.84,1.87,1.46,1.6,3.94,3.9,4.85,2.8,2.77,5.86,1.31,3.39,1.77,2.91,1.33,4.33,2.95,2.78,3.56,2.77,3.3,1.76
July,,,4.61,2.44,2.25,6.75,5.9,4.86,4.53,5,4.75,3.81,3.08,3.65,3.54,3.79,4.43,3.23,2.13,4.99,4.84,4.97,6.07,6.15,1.32,5.68,5.86,5.52,6.61,3.34
August,,,3.48,4.41,2.11,4.61,2.85,2.89,2.11,2.94,6.15,4.28,4.55,4.29,2.01,2.03,0.18,6.16,4.24,5.53,4.16,4.12,3.42,5.83,1.75,7.11,5.11,5.75,0.98,2.87
September,,,0.89,4.07,4.52,4.69,2.58,4.38,2.1,5.7,1.27,6.02,2.4,5.15,5.92,6.22,5.78,6.9,1.83,11.16,3.78,3.32,4.26,6.2,4.46,3.45,3.5,3.85,1.64,2.87
October,,,3.21,7.69,8.41,5.86,3.4,8.48,1.5,4.1,3.75,6.64,6.61,4.68,5.32,0.61,1.81,6.48,6.52,4.13,1.86,3.71,2.8,10.35,2.63,3.71,5.11,3.95,7.52,2.31
November,,,1.45,0.96,4.96,4.27,0.73,6.61,8.18,4.22,2.11,0.99,3.22,6.89,0.45,6.19,7.88,4.36,6.28,4.05,5.15,2.62,6.94,5.7,1.9,2.58,2.2,1.85,4.47,5.58
December,,,1.08,4.19,3.06,5.73,2.52,2.23,2.34,5.92,2.16,4.87,2.59,5.19,2.14,3.27,3.5,4.91,9.06,1.52,7.19,3.69,4.69,6.47,7.42,5.4,4.58,4.69,5.11,5.45
Total,,,32.13,40.77,43.89,43.84,33.62,48.54,37.1,43,32.07,38.67,44.82,47.65,42.48,35.57,40.36,56.69,49.57,51.06,43.19,37.49,38.97,59.27,34.16,40.71,46.24,42.07,39.66,39.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,644825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
