ELGIN THE MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 21309 62557,Long,-3.31997,Lat,57.646037,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,2.8,0.6,,,,1.8,1.9,1.2,1,0.55,0.5,2.08,1.94,2.14,2.61,2.79,2.46,1.85,2.49,,,,,,,,,
February,,,`,1.95,2.2,,,,2.5,0.6,1,1.85,2.05,1.08,0.96,1.51,2.74,0.79,2.08,1.6,2.23,,,,,,,,,,
March,,,,1.85,0.3,,,,2.2,3.3,1.1,0.9,2.3,3.49,2.26,2.66,1.59,1.2,0.75,1.47,1.51,1.53,,,,,,,,,
April,,,,1.7,1.4,,,,1.95,2.2,4.95,1.55,1.5,1.13,0.56,2.15,2.01,2.09,1.28,2.9,1.57,0.9,,,,,,,,,
May,,,,2,1.85,,,,1.35,2.05,1.25,2.3,2.9,1.43,3.25,0.99,3.57,1.67,1.8,0.43,1.82,2.23,,,,,,,,,
June,,,,1.4,0.7,,,,1.3,1.58,1.2,1.8,2.2,2.25,1.89,0.74,6.52,2.54,1.68,2.71,0.99,1.35,,,,,,,,,
July,,,,3.9,0.2,,,,2.6,1.47,3.95,1.65,2,0.79,5.36,3.8,3.39,1.47,5.75,0.76,2.26,3.15,,,,,,,,,
August,,,,3.5,2.7,,,,1.8,2.3,4,0.55,4.5,1.13,1.99,2.94,2.36,2.71,2.71,1.81,2.27,3.87,,,,,,,,,
September,,,,1.73,1.25,,,,3.8,2.4,1.05,1.1,1.4,3.53,1.7,5.96,1.13,2.22,3.87,3.97,2.5,,,,,,,,,,
October,,,,2.4,1,,,,0.3,3.3,2.1,2.3,2,0.84,1.82,0.96,3.39,3.41,1.71,3.13,1.14,2.16,,,,,,,,,
November,,,,3.2,1.6,,,,1.45,3.25,5.8,5.5,2.1,1.97,3.57,3.4,1.9,5.68,1.68,3.38,1.17,1.3,,,,,,,,,
December,,,,0.6,1.5,,,,0.8,2.25,1.6,2.1,1.75,2.39,2.78,3.16,1.43,1.9,1.88,2.01,0.53,2.79,,,,,,,,,
Total,,,,27.03,15.3,,,,21.85,26.6,29.2,22.6,25.25,20.53,28.22,30.21,32.17,28.29,27.98,26.63,19.84,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valuation records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 FS+T deleted from surrounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
