"EDENFIELD (SCOUT MOOR RES.) NO.2",,,,,,,,,,,,
Grid ref,SD823193,Long,-2.269378,Lat,53.669872,,,,,,,
Station no,2908,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.93,5.56,2.60,6.00,4.02,5.86,7.41,7.69,4.64,6.88,,
February,4.57,1.84,1.59,5.14,2.48,1.90,4.84,9.86,1.18,5.48,,
March,5.96,4.56,3.39,4.29,2.63,2.52,6.97,3.81,3.37,1.89,,
April,3.57,5.75,4.89,1.20,3.81,2.96,0.99,2.52,4.68,4.16,,
May,2.52,3.23,3.20,4.10,5.89,3.18,3.26,7.15,1.87,2.90,,
June,1.62,6.47,4.74,4.85,5.03,4.13,3.45,6.22,4.46,1.91,,
July,4.77,3.30,8.67,8.22,1.66,8.59,8.97,5.13,5.52,10.75,,
August,6.98,8.29,6.90,8.89,1.44,16.30,9.10,6.07,0.84,7.21,,
September,5.23,5.73,6.71,7.29,5.22,6.27,9.37,8.04,0.62,4.62,,
October,1.02,7.25,3.35,12.90,3.47,5.37,11.05,5.49,6.98,7.02,,
November,12.83,3.98,8.30,9.78,3.51,3.21,3.35,2.82,6.52,11.03,,
December,13.35,5.42,3.07,9.90,8.88,7.47,7.80,6.29,12.27,7.29,,
Total,68.35,61.38,57.41,82.56,48.04,67.76,76.56,71.09,52.95,71.14,,
Calc annual,68.35,61.38,57.41,82.56,48.04,67.76,76.56,71.09,52.95,71.14,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
