SCOUT MOOR RES) NO. 3A,,,,,,,,,,,,,,,,,,,,
Grid ref,SD823193,Long,-2.269378,Lat,53.669872,Elevation,1275,ft,,,,,,,,,,,,
Station no,2908,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.56,5.39,4.46,7.15,6.27,2.48,1.56,5.03,7.76,6.73,3.77,6.18,,,,
February,,,,,8,2.68,6.33,2.8,5.82,2.47,5.53,1.58,3.81,2.41,6.66,6.17,,,,
March,,,,,1.97,3.04,1.91,1.88,3.25,3.42,4.18,4.5,1.58,0.74,1.9,1.49,,,,
April,,,,,4.38,1.19,3.97,0.93,2.51,3.52,2.6,2.72,2.86,4.46,2.86,1.9,,,,
May,,,,,1.05,1.02,2.61,5.21,1.94,0.85,3.67,4.44,4.09,3.74,4.84,1.4,,,,
June,,,,,4.72,4.82,2.57,5.85,4.23,1.03,0.44,1.03,4.9,3.6,6.2,4.59,,,,
July,,,,,2.5,5.55,3.14,6.06,9.3,4.18,3.81,6.42,3.36,4.54,4.79,4.76,,,,
August,,,,,2.37,3.82,4.77,4.86,3.17,3.04,8.85,7.01,7.97,3.9,4,8.92,,,,
September,,,,,10.06,6.39,2.27,2.75,1.6,6.12,1.37,3.58,6.05,7.19,3.86,9.13,,,,
October,,,,,11.69,6.61,2.81,14.9,2.8,6.4,6.24,8.31,4.09,6.68,7.51,2,,,,
November,,,,,6.2,6.99,2.16,8.15,9.37,9.63,4.2,1.56,3.91,8.97,0.55,10.45,,,,
December,,,,,4.69,6.16,2.6,6.06,4.34,5.89,3.57,5.16,2.78,5.47,5.31,5.76,,,,
Total,,,,,60.19,53.66,39.6,66.6,54.6,49.03,46.02,51.34,53.16,58.43,52.25,62.75,,,,
,,,,,,,,,,,,,,,,,,,,
1939 arithmetic,,,,,,,,,,,,,,,,,,,,
