KENDAL - Marshall/Harrison,,,,,,,,,,,,,,,,,,,,
Grid ref,SD519929,Long,-2.7403,Lat,54.3299,Elevation,149,ft,,,,,,,,,,,,
Station no,RR390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,,,,,5.27,2.69,3.52,2.9,3.92,1.09,1.18,3.92,3.06,6.81,6.23
February,,,,,,,,,,4.28,4.15,7.32,8.51,8.91,3.24,3.94,3.46,5.47,3.52,5.45
March,,,,,,,,,,0.72,4.26,4.33,4.05,4.34,1.65,10.45,4.34,4.27,7.44,2.45
April,,,,,,,,,,1.56,1.03,3.58,1.06,3.06,4.29,1.24,2.62,2.31,3.82,1.8
May,,,,,,,,,,4.55,0.81,7.32,5.24,5.15,0.36,5.01,2.63,3.88,2.14,1.61
June,,,,,,,,,,3.25,2.1,3.93,3.89,2.22,2.26,3.39,2.83,2.98,2.36,3.59
July,,,,,,,,,,3.28,3.49,4.63,4.37,2.22,4.19,2.64,3.86,3.58,3.58,4.6
August,,,,,,,,,,9.66,4.54,5.43,2.29,2.09,4.21,5.14,3.51,4.61,1.52,3.61
September,,,,,,,,,,6.43,2.07,1.48,3.87,4.48,1.36,5.81,6.47,4,6.68,4.54
October,,,,,,,,,,1.13,3.97,8.38,6.04,5.13,5.83,6.87,4.21,5.2,5.99,3.85
November,,,,,,,,,,4.1,4,6.62,3.83,5.71,6.05,4.88,4.05,4.91,5.17,3.69
December,,,,,,,,,,9.6,8.41,6.94,1.24,2.17,10.42,6.89,6.83,6.56,2.55,5.25
Total,,,,,,,,,,53.83,41.52,63.48,47.29,49.4,44.95,57.44,48.73,50.83,51.58,46.67
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-045.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-127.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note: this record might continue as KENDAL-ST-GEORGES given that observer, elevation are the same and NGR suggests St george's Church",,,,,,,,,,,,,,,,,,,,
