KENDAL observer J Gough,,,,,,,,,,,,,,,,,,,,
Grid ref,SD519929,Long,-2.7403,Lat,54.3299,Elevation,149,ft,,,,,,,,,,,,
Station no,RR390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,,,,5.82,6.9,6.84,8.03,3.76,6.37,7.3,,,,,
February,,,,,,,,,3.21,9.21,3.67,6.21,5.36,8.09,13.47,,,,,
March,,,,,,,,,3.16,1.15,1.52,3.41,6.49,4.57,4.53,,,,,
April,,,,,,,,,4.17,4.53,2.23,4.59,10.03,1.56,4.18,,,,,
May,,,,,,,,,1.29,5.56,2.46,4.2,6.3,1.88,2,,,,,
June,,,,,,,,3.64,2.54,4.24,3.98,3.26,3.65,3.35,1.46,,,,,
July,,,,,,,,5.55,7.74,5.22,7.68,6.19,5.71,3.59,4.16,,,,,
August,,,,,,,,5.46,3.29,1.49,6.34,4.83,7.21,6.68,5.34,,,,,
September,,,,,,,,2.23,5.7,5.87,6.71,3.04,10.83,2.4,7.67,,,,,
October,,,,,,,,8.87,2.35,6.42,4.86,5.17,5.78,5.35,7.33,,,,,
November,,,,,,,,4.53,3.43,6.25,5.01,6.58,5.74,3.61,6.01,,,,,
December,,,,,,,,4.9,1.01,13.94,9.82,7.84,12.69,7.24,6.2,,,,,
Total,,,,,,,,,43.71,70.78,61.12,63.35,83.55,54.69,69.65,56.25,45.73,56.83,54.63,56.93
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_A_pt1-page-214.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_A_pt1-page-215.csv CORRECTION: total 1795 recorded as 56.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR at St George's Church which is at right elevation from the 1810 record from this site (another combined file),,,,,,,,,,,,,,,,,,,,
but note that that record has NGR for the old Museum although elevation wrong,,,,,,,,,,,,,,,,,,,,
