AMERSHAM-COMMON-STANMORE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU964987,Long,-0.60715135,Lat,51.678803,Elevation,517,ft,,,,,,,,,,,,,
Station no,1016,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.96,1.81,3.37,2.6,4.24,2.48,5.24,1.48,3.85,2.07,2.2,2.38,2.28,0.79,5.06,5.53,4.16,,
February,,,3.25,4.7,0.67,3.82,2.22,4.05,2.2,0.97,0.76,2.11,0.22,2.84,0.21,2.38,2.66,5.32,0.62,,
March,,,2.7,2.63,1.79,0.75,0.28,2.72,2.49,0.03,2.21,0.14,1.85,3.55,2.91,0.78,1.45,3.86,0.24,,
April,,,3.84,2.25,3.26,1.92,4.09,1.57,1.6,1.35,3.1,3.55,3.38,1.3,2.42,4.92,1.52,3.18,0.12,,
May,,,1.15,2.18,4.51,2.58,2.7,1.37,1.66,2.37,2.77,2.71,4.95,1.67,0.62,0.86,0.55,4.06,2.12,,
June,,,1.37,0.47,3.29,0,3.26,3.73,2.59,1.33,0.45,1.68,0.72,1.35,0.78,4.57,3.95,2.05,0.96,,
July,,,4.34,3.62,4.49,5.19,2.55,2.78,2.71,2.13,3,4.97,2.17,1.21,1.45,0.51,5.83,1.39,1.75,,
August,,,3.66,2.52,2.51,2.99,1.11,4.61,2.85,0.74,3.02,4.67,3.47,0.6,2.47,2.16,0.45,1.19,3.39,,
September,,,2.58,2.39,3.96,3.48,1.9,6.1,0.87,0.37,3.58,2.11,2.49,2.22,2.34,5.56,4.3,3.61,1.53,,
October,,,0.94,5.44,4.06,3.63,2.42,3.16,4.53,4.21,1.36,0.73,4.69,1.63,2.1,3.86,1.97,3.14,3.96,,
November,,,1.72,1.67,3.15,2.44,5.64,3.76,3.41,8.32,4.93,3.33,2.14,1.08,2.03,5.61,3.94,1.67,4.08,,
December,,,3.02,3.72,5.25,2.65,0.52,3.78,2.91,6.44,3.16,1.34,0.87,0.48,8,3.83,3.02,3.55,4.15,,
Total,,,32.53,33.4,40.31,32.05,30.93,40.11,33.06,29.74,32.19,29.41,29.15,20.31,27.61,35.83,34.7,38.55,27.08,,
