MORCOMBELAKE-WHELLERS,,,,,,,,,,
Grid ref,SY408943,Long,-2.84043,Lat,50.74535,Elevation,525,ft,,
Station no,1594/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.13,-999,3.32,3.99,5.85,3.75
February,,,,,2.94,-999,4.3,3.91,0.47,3.78
March,,,,,1.48,0.79,3.14,2.08,4.04,1.84
April,,,,,1.29,1.01,0.14,0.84,2.57,2.89
May,,,,,4.25,0.78,1.74,3.26,0.87,1.48
June,,,,,3.23,2.41,2.17,3.21,1.11,0.94
July,,,,,4.48,2.19,3.55,2.53,1.53,4.15
August,,,,,0.65,5.44,2.6,2.9,2.4,5.53
September,,,,,1.97,7.16,3.82,6.44,0.12,5.67
October,,,,,2.36,2.43,3.22,2.79,3.8,9.34
November,,,,,4.44,0.85,2.3,3.36,4.9,5.78
December,,,,,5.69,6.37,3.29,5.31,8.35,4.24
Total,,,,,36.91,33.32,33.59,40.62,36.01,49.39
,,,,,,,,,,
1956 Jan Feb Part apportioned Combined total 3.89,,,,,,,,,,
,,,,,,,,,,
SRC_ID 8048,,,,,,,,,,
1955-1965,,,,,,,,,,
