BRAEMAR GLENCLUNIE LODGE,,,,,,,,,,
Grid ref,NO138832,Long,-3.41804,Lat,56.932033,Elevation,1400,ft,,
Station no,RR8563,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,3.54,2.44,7.25,5,2.22,7.2,3,,
February,,1.44,1.36,9,3,2.19,2.6,3.7,,
March,,3.33,2.79,11.2,1.7,6.15,2.83,2.79,,
April,,2.94,4.53,2.3,4,3.13,1.3,4.56,,
May,,3,4.11,1.7,2.7,2.35,4.9,4.6,,
June,,3.5,1.56,2.08,1.73,3,1.3,,,
July,,1.48,2.3,3.55,1.63,2.13,1.95,,,
August,,4.97,2.23,5.05,3.44,3.3,3.32,,,
September,,3.82,2.82,3.7,2.8,2.89,1.82,,,
October,,4.85,3.9,7.96,1.8,4.19,7.03,,,
November,,1.91,6.4,2.96,1.55,7.73,6.34,,,
December,,4.1,6.55,3.9,2.8,2.9,4.31,,,
Total,,38.88,40.99,60.65,32.15,42.18,44.9,,,
,,,,,,,,,,
BR 1901 P,,,,,,,,,,
BR 1902 P,,,,,,,,,,
BR 1903 P,,,,,,,,,,
BR  1904 P,,,,,,,,,,
BR 1905 P,,,,,,,,,,
BR 1906 P,,,,,,,,,,
,,,,,,,,,,
Station no,RR8563,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
