BRAEMAR GLENCLUNIE LODGE,,,,,,,,,,,,
Grid ref,NO138832,Long,-3.418040,Lat,56.932033,,,,,,,
Station no,RR8563,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.54,2.44,7.25,5.00,2.22,7.20,3.00,,,,
February,,1.44,1.36,9.00,3.00,2.19,2.60,3.70,,,,
March,,3.33,2.79,11.20,1.70,6.15,2.83,2.79,,,,
April,,2.94,4.53,2.30,4.00,3.13,1.30,4.56,,,,
May,,3.00,4.11,1.70,2.70,2.35,4.90,4.60,,,,
June,,3.50,1.56,2.08,1.73,3.00,1.30,,,,,
July,,1.48,2.30,3.55,1.63,2.13,1.95,,,,,
August,,4.97,2.23,5.05,3.44,3.30,3.32,,,,,
September,,3.82,2.82,3.70,2.80,2.89,1.82,,,,,
October,,4.85,3.90,7.96,1.80,4.19,7.03,,,,,
November,,1.91,6.40,2.96,1.55,7.73,6.34,,,,,
December,,4.10,6.55,3.90,2.80,2.90,4.31,,,,,
Total,,38.88,40.99,60.65,32.15,42.18,44.90,-999.00,,,,
Calc annual,0.00,38.88,40.99,60.65,32.15,42.18,44.90,18.65,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-1017.65,NaN,NaN,,
