"GLENSHERO   (LODGE WOULD BE MORE ACCURATE)",,,,,,,,,,,,
Grid ref,NN550931,Long,-4.389151,Lat,57.006207,,,,,,,
Station no,5692/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.22,5.07,2.94,5.61,1.97,4.94,8.57,3.67,3.57,3.12,,
February,3.12,3.26,4.03,3.37,3.22,3.20,3.76,1.99,2.61,4.15,,
March,2.29,2.34,1.82,2.39,1.17,3.05,3.85,1.87,2.45,1.05,,
April,5.59,2.12,3.36,2.10,0.88,2.13,1.39,1.99,3.59,4.26,,
May,0.84,2.20,3.06,4.03,2.88,3.26,1.66,4.26,1.54,0.83,,
June,1.87,2.93,2.30,2.97,1.27,2.62,2.29,1.68,3.26,1.79,,
July,2.96,2.42,4.51,1.86,0.46,4.23,4.23,3.50,4.78,1.76,,
August,4.78,4.31,4.15,4.00,1.41,5.13,4.16,4.04,2.68,5.07,,
September,2.80,3.61,4.62,5.87,4.82,5.85,2.95,4.66,0.88,2.75,,
October,1.55,5.81,2.73,8.76,5.81,5.38,5.47,5.80,6.84,2.29,,
November,5.67,3.38,9.22,7.02,1.23,4.07,1.29,1.32,4.69,2.84,,
December,8.34,5.54,7.17,11.41,8.78,8.46,7.73,4.25,6.50,6.08,,
Total,45.03,42.99,49.91,59.39,33.90,52.32,47.35,39.03,43.39,35.99,,
Calc annual,45.03,42.99,49.91,59.39,33.90,52.32,47.35,39.03,43.39,35.99,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
