GLENSHERO   (LODGE WOULD BE MORE ACCURATE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN550931,Long,-4.389151,Lat,57.006207,Elevation,880,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,9.32,6.84,10.13,4.61,2.78,9.67,10.04,3.79,0.62,0.51,4.31,4.13,7.93,4.88,6.28,4.97,6.05,8.1,4.17,5.22,5.07,2.94,5.61,1.97,4.94,8.57,3.67,3.57,3.12
February,,0.17,3.86,2.15,8.21,1.53,4.51,5.22,6.44,1.43,3.36,2.5,6.51,2.84,7.99,5.41,0.18,6.25,6.17,7.27,3.12,3.26,4.03,3.37,3.22,3.2,3.76,1.99,2.61,4.15
March,,3.19,2.17,3.68,3.87,1.42,1.57,6.56,4.34,3.25,0.92,1.06,4.83,1.97,4.53,2.39,1.59,6.16,2.94,3.18,2.29,2.34,1.82,2.39,1.17,3.05,3.85,1.87,2.45,1.05
April,,5.14,2.9,3.73,2.77,1.56,0.79,0.77,3.07,2.87,1.7,1.56,5.99,2.73,1.72,2.08,10.09,3.77,3.88,5.36,5.59,2.12,3.36,2.1,0.88,2.13,1.39,1.99,3.59,4.26
May,,3.17,1.05,3.67,0.56,1.01,1.88,2.93,0.82,1.22,2,2.67,3.03,3.36,3.63,1.35,2.56,2.15,2.28,1.44,0.84,2.2,3.06,4.03,2.88,3.26,1.66,4.26,1.54,0.83
June,,0.63,1.4,1.53,3.45,1.78,2.09,4.76,1.74,0.92,0.76,1.7,3.67,4.88,4.05,3.6,4.1,3.26,1.47,2.91,1.87,2.93,2.3,2.97,1.27,2.62,2.29,1.68,3.26,1.79
July,,4.45,2.77,3.38,1.51,4.66,3.53,4.26,4.68,5.64,3.2,2.33,2.72,1.81,1.56,6.08,3.44,3.37,1.32,3.46,2.96,2.42,4.51,1.86,0.46,4.23,4.23,3.5,4.78,1.76
August,,2.68,2.97,3.34,4.04,3.08,3.18,2.47,1.55,2.58,5.19,4.67,3.87,2.92,1.26,2.5,0,4.74,3.93,4.5,4.78,4.31,4.15,4,1.41,5.13,4.16,4.04,2.68,5.07
September,,4.04,1.32,5.2,8.73,3.53,3.24,4.22,2.08,1.88,1.67,6.08,4.75,3.25,5.91,6.2,5.48,4.17,1.95,8.94,2.8,3.61,4.62,5.87,4.82,5.85,2.95,4.66,0.88,2.75
October,,7.67,6.32,8.57,11.44,6.79,2.24,10.92,1.84,4.47,6.05,7.26,9.13,5.91,4.75,0.77,2.1,5.66,3.69,4.86,1.55,5.81,2.73,8.76,5.81,5.38,5.47,5.8,6.84,2.29
November,,6.52,2.04,1.44,4.72,3.65,0.55,10.14,7.3,7.04,5.09,1.77,4.74,6.85,0.61,3.63,8.95,3.86,3.13,4.15,5.67,3.38,9.22,7.02,1.23,4.07,1.29,1.32,4.69,2.84
December,6.38,5.75,0.72,5.65,2.25,10.35,1.59,5.51,2.18,5.97,5.77,6.5,2.71,6.62,5.55,4.98,1.86,6.25,12.79,3.5,8.34,5.54,7.17,11.41,8.78,8.46,7.73,4.25,6.5,6.08
Total,,52.73,34.36,52.47,56.16,42.14,34.84,67.8,39.83,37.89,36.22,42.41,56.08,51.07,46.44,45.27,45.32,55.69,51.65,53.74,45.03,42.99,49.91,59.39,33.9,52.32,47.35,39.03,43.39,35.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,813597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
