GRANGE-OVER-SANDS (YEWBARROW HO),,,,,,,,,,,,,,,,,,,,
Grid ref,SD407781,Long,-2.9104,Lat,54.195214,Elevation,50,ft,,,,,,,,,,,,
Station no,3023/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.04,4.73,3.2,1.31,,7.36,5.47,4.93,,,,,
February,,,,,,,,1.77,4.38,1.89,4.33,,2.76,2.11,5.32,,,,,
March,,,,,,,,1.8,2.05,4.93,3.39,,1.33,0.77,3.32,,,,,
April,,,,,,,,0.8,2.31,3.11,1.5,,2.31,3.72,2.09,,,,,
May,,,,,,,,3.89,1.02,1.2,3.79,,4.22,3.41,4.17,,,,,
June,,,,,,,,4.74,3.07,1,0.47,,2.94,3.47,3.68,,,,,
July,,,,,,,,4.9,8.6,5.63,1,,5.11,2.99,4.42,,,,,
August,,,,,,,,4.15,2.28,1.8,4.96,,8.56,3.25,,,,,,
September,,,,,,,4.3,1.81,1.72,4.34,1.83,,6.24,7.12,,,,,,
October,,,,,,,2.97,10.94,1.48,5.16,7.5,,5.94,5.49,,,,,,
November,,,,,,,1.93,7.24,7.02,5.38,2.38,,3.47,8.2,,,,,,
December,,,,,,,3.38,5.47,2.83,5.5,2.58,,2.7,4.44,,,,,,
Total,,,,,,,,52.55,41.49,43.14,35.04,,52.94,50.44,,,,,,
