WEMYSS BAY ASHCRAIG,,,,,,,,,,,,,,,,,,,,
Grid ref,NS192650,Long,-4.8892665,Lat,55.844227,Elevation,38,ft,,,,,,,,,,,,
Station no,RR8461,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,4.2,2.95,4.16,4.5,8.29,2.84,7.03,2.6,9.45,1.25,,,,
February,,,,,,,3.02,3.4,2.77,3.78,0.92,1.99,2.43,6.25,12.17,0.18,,,,
March,,,,,,,3.59,2.39,2.32,2.97,4.38,1.74,1.2,2.34,5.94,5.16,,,,
April,,,,,,4.1,1.51,2.34,3.13,3.28,1.57,1.53,1.85,2.43,2.66,3.75,,,,
May,,,,,,2.22,2.66,1.61,2.83,3.02,3.3,1.48,5.26,3.1,3.04,0.1,,,,
June,,,,,,1.75,1.18,1.39,3.26,1.38,4.92,0.87,3.94,1.11,2.55,2.12,,,,
July,,,,,,1.83,2.58,3.47,3.51,1.72,6.14,2.2,3.03,5.14,3.77,5.5,,,,
August,,,,,,3.8,2.37,3.23,4.13,5.54,3.47,5.22,9.05,5.8,4.88,5.9,,,,
September,,,,,,4.24,7.56,4.83,2.18,2.23,5.87,6.1,9.47,4.55,0.15,2.15,,,,
October,,,,,,4.6,5.12,2.05,2.35,3.82,4.4,5.72,4.02,8.7,4.51,4.08,,,,
November,,,,,,1.96,4.89,5.66,7.31,4.53,7.8,5.6,7.18,5.37,6.2,8,,,,
December,,,,,,2.45,5.73,3.82,5.17,6.11,2.25,6.43,3.96,9.55,5.99,6.25,,,,
Total,,,,,,,44.41,37.14,43.12,42.88,53.31,41.72,58.42,56.94,61.31,44.44,,,,
