BODENHAM PIGEON HOUSE,,,,,,,,,,,,
Grid ref,SO533511,Long,-2.684035,Lat,52.156191,,,,,,,
Station no,RR7775,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.82,0.83,,
February,,,,,,,,,1.19,0.61,,
March,,,,,,,,,3.16,2.41,,
April,,,,,,,,,3.25,2.09,,
May,,,,,,,,,1.90,0.95,,
June,,,,,,,,,1.15,3.06,,
July,,,,,,,,,1.72,2.92,,
August,,,,,,,,,2.66,1.57,,
September,,,,,,,,,1.89,2.80,,
October,,,,,,,,,2.04,3.19,,
November,,,,,,,,,1.17,1.03,,
December,,,,,,,,,2.43,3.91,,
Total,,,,,,,,,23.38,25.37,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.38,25.37,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
