BODENHAM PIGEON HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO533511,Long,-2.684035,Lat,52.156191,Elevation,215,ft,,,,,,,,,,,,
Station no,RR7775,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.82,0.83,2.15,0.6,3.58,3.65,0.75,2.51,,,,
February,,,,,,,,,1.19,0.61,3.65,1.25,1.34,1.32,1.89,4.02,,,,
March,,,,,,,,,3.16,2.41,0.5,1.98,4.29,4.96,2.24,0.44,,,,
April,,,,,,,,,3.25,2.09,2.24,1.14,0.15,3.92,0.83,1.17,,,,
May,,,,,,,,,1.9,0.95,1.76,1.84,2.03,2.28,2.21,2.99,,,,
June,,,,,,,,,1.15,3.06,5.17,2.73,3.87,0.59,2.26,0.57,,,,
July,,,,,,,,,1.72,2.92,1.77,0.19,3.2,0.62,3.1,5.29,,,,
August,,,,,,,,,2.66,1.57,5.06,2.09,7.43,1.5,1.9,2.53,,,,
September,,,,,,,,,1.89,2.8,0.63,1.68,0.87,2.86,1.04,0.77,,,,
October,,,,,,,,,2.04,3.19,3.13,1.82,2.7,3.09,1.69,4.12,,,,
November,,,,,,,,,1.17,1.03,4.08,2.68,1.34,2.59,2.77,2.12,,,,
December,,,,,,,,,2.43,3.91,5.34,6.71,3.28,1.08,5.21,5.07,,,,
Total,,,,,,,,,23.38,25.37,35.48,24.71,34.08,28.46,25.89,31.6,,,,
