"HAWKSHEAD, BETTYFOLD",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD339992,Long,-3.01928,Lat,54.383981,Elevation,552,ft,,,,,,,,,,,,,
Station no,3030,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,11.1,9.73,19.5,3.82,13.85,5.82,12.32,9.71,12.72,4.23,7.64,8.12,11.88,,
February,,,,,,,12.26,6.76,9.77,2.89,0.67,10.44,0.02,13.35,0.63,12.33,2.81,8.9,4.76,,
March,,,,,,,4.99,7.98,4.89,1.95,4.1,1.01,5.63,5.92,5.5,2.21,4.57,2.59,5.58,,
April,,,,,,,3.97,4.57,1.48,3.13,3.33,2.8,7.24,3.44,4.42,4.89,1.11,4.58,1.15,,
May,,,,,,,3.28,3.61,1.27,4.31,2.56,4.87,5.71,3.65,6.22,0.52,0.95,2.58,6.88,,
June,,,,,,,4.72,5.95,9.14,2.9,2.9,9.49,2.41,3.24,2.95,7.25,5.82,4.36,8.1,,
July,,,,,,,6.42,5.7,9.94,7.42,4.26,8.44,6.67,5.36,2.79,3.39,5.67,4.01,10.47,,
August,,,,,,,7.52,7.28,9.36,9.56,11.52,5.16,1.69,5.33,6.73,4.71,5.09,4.42,4.54,,
September,,,,,,,8.4,11.86,5.49,3.5,4.61,2.59,9.56,1.09,11.13,10.89,8.5,5.13,4.13,,
October,,,,,,,8.03,9.17,13.48,9.97,14.8,6.66,13.15,5.84,12.8,11.95,6.19,3.47,20.85,,
November,,,,,,,14.46,10.39,19.73,18.44,7.93,14.47,7.1,2.75,1.89,7.24,8.4,2.55,12.63,,
December,,,,,,,3.26,2.39,8.65,15.12,9.39,7.75,14.33,1.65,12.93,5.28,10.74,5.67,8.17,,
Total,,,,,,,88.41,85.39,112.7,83.01,79.92,79.5,85.83,61.33,80.71,74.89,67.49,56.38,99.14,,
