"WITTON RESERVOIR",,,,,,,,,,,,
Grid ref,SP088924,Long,-1.871713,Lat,52.529401,,,,,,,
Station no,RR4617,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,1.42,1.15,1.94,2.24,0.74,3.25,0.92,0.75,1.18,,
February,4.13,1.90,1.56,0.81,3.15,0.53,1.85,1.01,1.16,0.60,,
March,0.80,1.20,1.52,3.86,1.33,2.59,1.03,0.90,2.75,2.55,,
April,0.78,1.80,2.49,1.40,1.04,1.96,1.40,1.64,2.79,1.68,,
May,1.67,1.48,2.74,2.05,2.30,0.35,2.24,4.30,2.84,1.57,,
June,2.30,2.48,2.01,1.52,0.46,1.80,2.41,3.09,3.57,3.36,,
July,2.75,2.52,2.02,2.44,2.06,1.94,1.77,2.73,3.17,3.40,,
August,3.15,2.03,4.38,4.39,2.42,4.29,0.95,2.49,2.53,2.19,,
September,0.57,0.95,1.59,2.94,1.70,0.98,1.30,0.85,1.72,2.71,,
October,3.27,1.95,1.87,5.33,0.68,1.43,4.24,5.05,2.45,3.24,,
November,2.13,1.02,1.79,1.57,1.16,2.42,2.31,1.99,1.66,1.05,,
December,3.94,3.83,1.46,1.63,1.55,0.64,1.79,2.83,2.88,4.24,,
Total,29.26,22.58,24.58,29.88,20.09,19.67,24.54,27.80,28.27,27.77,,
Calc annual,29.26,22.58,24.58,29.88,20.09,19.67,24.54,27.80,28.27,27.77,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
