CREDITON-UDC,,,,,,,,,,,,,,,,,,,,
Grid ref,SS833003,Long,-3.65703,Lat,50.7905,Elevation,198,ft,,,,,,,,,,,,
Station no,1780/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.26,3.03,2.04,2.98,0.88,5.92,6.27,4.47,6.95,2.24,4.9,,,,,,,,,
February,2.29,0.02,3.58,0.22,3.21,3.57,6.04,1.07,1.49,4.07,4.02,,,,,,,,,
March,2.3,2.03,2.77,3.47,1.44,3.67,4.69,0.2,1.95,2.36,,,,,,,,,,
April,3.86,2.77,1.19,3.07,3.99,2.86,3.63,0.16,2.9,3.44,1.02,,,,,,,,,
May,4.52,2.98,3.23,1.48,3.33,0.68,1.75,2.35,0.19,1.46,2.04,,,,,,,,,
June,2.82,1.15,1.8,2.23,1.81,1.27,1.25,1.15,2.32,0.92,,,,,,,,,,
July,3.01,2.68,1.76,0.58,0.39,5.79,1.74,2.58,5.53,3.48,,,,,,,,,,
August,3.79,2.41,2.38,3.17,2.19,0.13,0.95,4.91,2.49,1.05,4.04,,,,,,,,,
September,1.11,4.71,1.29,2.07,3.53,3.45,2.49,1.06,0.82,2.72,0.7,,,,,,,,,
October,0.92,6.28,2.97,2.33,5.16,1.7,4.04,3.29,3.92,3.19,2.14,,,,,,,,,
November,7.09,2.37,1.03,1.57,5.13,3.58,1.69,5.56,5.06,6.8,2.58,,,,,,,,,
December,1.9,1.74,1.83,9.22,4.56,2.65,3.53,4.52,1.72,3.45,2.36,,,,,,,,,
Total,36.87,32.17,25.87,32.39,35.62,35.27,38.07,31.32,35.34,35.18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location unknown but this NGR is near Town Hall where later gauge was,,,,,,,,,,,,,,,,,,,,
1940 Aug total Possibly too big,,,,,,,,,,,,,,,,,,,,
1941 Not printed Too many adjustments,,,,,,,,,,,,,,,,,,,,
