ORLINGBURY-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP852727,Long,-0.750708,Lat,52.345765,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1122/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.81,3.82,3.45,2.7,5.6,3.16,3.79,2.56,3.78,1.63,2.32,2.05,1.96,4.07,0.87,0.82,2.18,1.89,1.03,0.82,1.8,3.93,1.37,,,
February,,,,,2.12,2.1,3.48,0.85,1,2.48,1.81,0.96,0.9,1.21,1.47,2.2,1.89,0.88,0.98,3.56,2.43,0.67,1.33,1.71,1.95,0.6,2.11,,,
March,,,,,0.47,1.51,3.39,0.2,1.83,2.37,3.33,1.86,0.86,0.17,0.78,1.23,5.35,0.64,1.39,0.87,2.81,2.9,0.99,2.35,2.24,0.75,2.08,,,
April,,,,,3.62,1.97,2.92,0.04,2.12,2.1,0.82,1.07,0.95,1.78,0.93,1.76,1.78,1.53,1.73,2.43,3.26,1.81,1.85,0.19,0.67,1.22,0.25,,,
May,,,,,1.18,1.3,4.56,2.01,0.78,1.61,2.48,2.94,2.07,0.87,1.75,2.59,1.09,3.18,2.71,2.39,4.02,3.85,1.48,3.02,3.57,0.51,1.43,,,
June,,,,,3.01,4.51,1.45,1.35,1.62,0.64,1.92,0.18,2.11,2.86,2.29,2.78,1.24,2.67,0.39,1.88,1.62,1,1.73,3.06,2.13,2.34,,,,
July,,,,,0.62,5.89,1.59,1.65,2,2.8,3.1,2.11,0.86,1.75,1.67,2.01,2.27,1.24,1.64,3.73,0.92,0.35,2.58,2.71,0.22,3.96,,,,
August,,,,,1.73,0.37,1.99,4.49,3.86,0.15,3.98,2.5,2.13,2.4,2.18,3.5,0,2.89,0.8,1.56,3.5,2.92,2.36,4.39,0.65,5.23,,,,
September,,,,,3.91,2.42,1.16,1.58,0.73,0.8,0.44,1.34,1.91,2.44,2.43,3.13,1.21,2.72,1.46,3.53,1.23,2.42,1.55,1.85,1.46,1.76,,,,
October,,,,,4,1.7,3.11,2.58,4.54,,2.02,2.14,1.87,2.73,3.33,1.33,0.12,3.08,4.8,0.57,0.69,2.19,1.82,2.21,1.81,1.13,,,,
November,,,,,3.99,2.67,1.64,2.8,3.69,6.17,2.84,2.07,1.6,3.11,0.3,4.92,1.34,1.45,2.53,3.89,5.12,2.75,1.71,4.99,1.15,0.76,,,,
December,,,,,2.93,1.68,2.16,3.83,1.76,1.64,0.79,1.96,0.88,1.05,2.77,2.28,2.14,2.8,1.54,1.39,1.89,2.39,0.63,2.51,1.95,2.98,,,,
Total,,,,,28.39,29.94,30.9,24.08,29.53,,27.32,21.69,19.92,22,22.22,29.78,20.39,27.15,20.84,26.62,29.67,25.14,19.06,29.81,19.6,25.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
