HARROW-HEADSTONE-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ150881,Long,-0.34172613,Lat,51.580039,Elevation,208,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,861/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.68,2.85,3.21,4.63,1.74,1.88,1.71,1.91,4.87,1.11,0.81,3.06,,,,,,,,,
February,,,,,,,,,,1.71,2.61,0.95,1.42,0.82,1.84,3,1.48,1.5,1.19,3.77,5.15,,,,,,,,,
March,,,,,,,,,,2.77,3.13,1.87,0.46,0.16,0.67,1.25,5.92,0.89,1.22,0.88,3.77,,,,,,,,,
April,,,,,,,,,,1.95,2.01,1.56,0.89,2.03,1.1,2.1,1.68,1.52,1.76,2.19,2.82,,,,,,,,,
May,,,,,,,,,,1.66,1.88,3.41,2.6,0.97,3.27,3.39,1.14,5.56,2.3,1.56,2.27,,,,,,,,,
June,,,,,,,,,,1.65,1.9,0.35,1.3,1.62,1.99,2.81,2.68,2.28,0.56,1.44,1.37,,,,,,,,,
July,,,,,,,,,,2.49,4.99,2.02,1.64,1.57,3.54,2.96,3.18,1.27,1.76,5.02,1.69,,,,,,,,,
August,,,,,,,,,,0.31,4.93,2.8,1.67,2.96,1.71,4.39,1.4,2.87,2.19,2.87,4,,,,,,,,,
September,,,,,,,,,,1.08,0.47,1.13,2.42,2.97,1.53,3.47,1.22,1.75,0.5,3.28,2.8,,,,,,,,,
October,,,,,,,,,,2.79,0.94,4.12,3.18,4.09,3.33,1.24,0.15,2.19,5.99,0.5,1.24,,,,,,,,,
November,,,,,,,,,,6.88,2.84,2.09,1.38,4.08,0.29,4.55,1.33,1.83,2.74,5.08,5.53,,,,,,,,,
December,,,,,,,,,,1.46,1.83,2.92,1.42,1.61,3.04,2.19,2.79,2.69,1.5,1.78,1.71,,,,,,,,,
Total,,,,,,,,,,27.43,30.38,26.43,23.01,24.62,24.19,33.06,24.88,29.22,22.82,29.18,35.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Headstone Road. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Relationship to church, station and new gauge location all reasonable matches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to 34 Welldon Raod at the end of 1951 but the station no. was kept.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
