DORKING-HIGH-ASHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ191533,Long,-0.294268,Lat,51.266421,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.84,2.31,1.07,1.35,3.3,3.21,0.83,2.17,3.79,2.16,0.98,2.28,0.86,3.64,3.54,1.32,0.83,2.18,4.85,1.4,4.66,0.78,1.65,1.01,3.2,1.42,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.62,0.81,1.84,2.46,0.82,0,1.34,3.62,1.89,0.21,0.43,3.04,1.23,2.9,4.79,1.76,1.03,2.11,3.69,0.33,1.8,1.5,0.87,0.55,4.65,1.34,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.81,1.85,3.75,2.53,2.15,2.18,1.69,0.72,1.7,1.73,3.72,4.63,1.16,0.11,0.84,2.02,1.84,3.55,1.73,4.29,1.65,0.43,2.73,3.84,0.89,1.9,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.97,1.78,1.77,2.63,2.34,0.62,0.97,0.05,2.32,1.71,0.91,1.85,1.14,3.54,0.84,2.1,1.13,2.08,1.57,1.8,0.21,3.9,3.39,1.7,2.01,2.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.83,1.78,1.65,3.74,1.59,2.55,1.48,0.8,1.8,0.47,0.34,1.77,3.86,1.76,1.3,0.49,2.21,3.21,2.38,0.42,1.01,2.02,1.02,2.21,2.09,2.28,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.95,1.1,4.54,0.86,2.65,1.37,2.83,0.85,2.61,0.28,3.34,2.51,1.46,0.59,2.81,1.16,3.67,6.07,1.22,5.24,2.54,2.15,2.83,2.84,4.45,2.62,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.95,1.39,5.18,1.24,5.26,3.92,2.1,3.49,4.32,4.19,1.53,1.83,0.83,1.65,1.45,2.27,1.53,4.45,0.85,0.92,0.34,3.63,2.72,2.75,2.8,0.45,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.27,2.54,2,2.43,2.4,4.53,3.12,0.55,3.19,2.97,2.02,3.17,0.97,0.77,3.54,1.79,2.7,5.48,0.7,2.84,0.5,2.58,2.61,2.33,2.6,0.64,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.85,2.37,1.01,1.23,0.99,1.11,2.29,1.53,1.99,0.77,8.39,3.32,0.69,3.05,0.8,1.23,0.87,4.17,2.58,2.02,1.43,0.75,1.07,3.68,0.8,1.06,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.47,1.74,1.71,5.06,1.01,7.85,4.39,4.72,4.92,3.12,3.98,0.77,4.31,2.7,2.34,2.72,1.91,7.46,2.27,1.19,3.95,3,2.31,5.39,3.3,4.83,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
